t,S2_Obs,ppS3_ppS3_ppS3_Obs,pS2_Obs,geneJ_Obs
0,225.579712923439,0.230856363951662,-0.134641589398545,1.03436021261449
10,322.144080506724,NaN,NaN,NaN
15,NaN,-0.0412021886566373,-0.115430795010777,0.933017611371124
20,342.025204181559,NaN,NaN,NaN
25,NaN,0.0835947467389731,NaN,0.922747693591341
30,245.561151753909,NaN,-0.205868498707525,NaN
40,NaN,-0.216810032930601,NaN,NaN
45,335.672705351692,NaN,0.14784602044735,0.986852649182564
55,NaN,-0.0517396033822561,NaN,NaN
60,290.190249171737,NaN,-0.0138556128104672,1.01213032234553
75,291.964993494776,-0.218185154939702,NaN,NaN
80,NaN,NaN,0.0416599581769071,1.22012871571644
95,NaN,-0.0314670171570509,NaN,NaN
100,NaN,NaN,-0.157311365665111,0.904801429478025
