t,S2_Obs,pS2_Obs,geneH_Obs,geneJ_Obs
0,151.326619008391,-0.102324449820304,0.592672476223797,0.907314220918647
15,94.7817143468312,NaN,NaN,NaN
30,83.8806700731743,20.0573852834459,NaN,NaN
35,NaN,NaN,NaN,0.668313169597484
40,NaN,NaN,6.17562198845554,NaN
50,68.4740507705295,NaN,NaN,NaN
60,NaN,18.2771733208167,NaN,NaN
70,92.0529899184815,NaN,NaN,0.497557910760676
80,NaN,NaN,6.0776667091729,NaN
90,106.156619830071,NaN,NaN,NaN
95,NaN,11.9025169704474,NaN,NaN
100,115.465516536651,NaN,6.80684071084281,0.567788975794761
150,133.844309383151,4.29705860075408,5.66608643010557,0.689892855484249
200,129.289637048267,2.26626633902219,5.36527106256015,0.710776852249853
250,NaN,0.032318307987928,5.6433778432032,0.735898548761196
300,NaN,-0.264672539359755,NaN,0.92844592038762
350,NaN,NaN,3.70528063752884,0.972976815089967
400,NaN,NaN,1.86514726874822,1.0249235848938
500,NaN,NaN,1.01226033315119,1.00762785199378
600,NaN,NaN,1.16709330428791,0.946320586334875
700,NaN,NaN,1.18131653530668,NaN
850,NaN,NaN,1.41451443663142,NaN
