t,S2_Obs,pS2_Obs,ppS2_ppS3_ppS3_Obs,geneJ_Obs
0,155.578847450645,0.482648985355695,0.0585118147572943,0.96112305666667
15,99.6731374061765,NaN,1.75632041282086,NaN
30,86.9783732605569,21.1447444288931,2.07433645068917,0.800850867070412
45,58.7172484544821,NaN,1.93721358974351,NaN
60,118.200684147274,NaN,NaN,0.752244954473667
65,NaN,17.7412675456735,1.75698894304008,NaN
80,116.148178744495,NaN,1.50908725449757,NaN
90,NaN,NaN,NaN,0.655829447044251
100,119.990914256905,12.0573867722562,1.04559051545063,NaN
150,131.372184556641,5.51485229203813,0.306214533650513,0.88913522241853
200,110.019205167994,2.71404559069998,0.193146882157973,0.992125480966984
250,NaN,-0.809664495213363,-0.018926043203305,0.950700630613883
300,NaN,-2.71928482344632,0.0212665184017554,0.990682592434905
350,NaN,NaN,NaN,0.891670578372135
450,NaN,NaN,NaN,0.856801415067732
500,NaN,NaN,NaN,0.998445238876031
