t,TGFb_Obs,ppS2_ppS3_ppS3_Obs,geneH_Obs
0,1.02300991281701,0.149837733277698,0.54612542568745
20,0.591604440293825,3.1285969013767,NaN
35,NaN,NaN,4.74590160668372
40,0.359089803239475,3.00971381281716,NaN
60,NaN,3.31143110995821,NaN
65,0.151301083237437,NaN,NaN
75,NaN,NaN,4.92532880888904
85,NaN,2.21070896891224,NaN
90,0.107985080766946,NaN,NaN
100,0.0950103520438553,1.72655822033793,4.38378832356143
150,0.0632962471394866,0.68205415326841,3.84701990737567
200,0.00779031038174191,0.109443715480489,3.53339115039875
250,NaN,-0.276058648469549,3.52103136842174
300,NaN,-0.161817622880343,2.55537592152608
350,NaN,NaN,2.56480264087899
400,NaN,-0.179254931870675,NaN
450,NaN,NaN,1.76488749013134
550,NaN,NaN,0.614522594709628
650,NaN,NaN,1.11415659772142
750,NaN,NaN,0.139929686540344
