t,S2_Obs,ppS3_ppS3_ppS3_Obs,pS2_Obs,geneJ_Obs
0,148.758625763896,-0.0690898674203536,-0.0665103422890102,0.977457127102241
10,158.397530982875,NaN,0.139356469225742,1.10664547475808
15,NaN,0.227937275678888,NaN,NaN
20,144.442351954704,NaN,-0.0604759819515638,NaN
25,NaN,0.131406788402092,NaN,0.908145341740289
30,129.66161134235,NaN,NaN,NaN
35,NaN,NaN,-0.0362857817249407,0.753403183144125
40,NaN,-0.147653336920625,NaN,NaN
45,153.025585891803,NaN,NaN,NaN
50,NaN,NaN,0.104628441276066,1.02774203508359
55,NaN,0.0230502230918323,NaN,NaN
60,150.555291588793,NaN,NaN,NaN
65,NaN,NaN,-0.0549156163902756,NaN
70,NaN,NaN,NaN,0.919517939916111
75,111.679081699899,-0.167857419475086,NaN,NaN
80,NaN,NaN,-0.0250421365725171,NaN
90,141.986267217268,NaN,NaN,1.16762211102062
95,NaN,0.0333111463069723,NaN,NaN
