t,TGFb_Obs,ppS2_ppS3_ppS3_Obs,geneD_Obs
0,0.998136045880042,-0.0723184896014354,0.986641194932819
15,0.628229026117046,NaN,NaN
20,NaN,3.38485653891127,NaN
30,0.421158406521244,NaN,NaN
35,NaN,3.54743888772204,NaN
45,0.229777744485514,NaN,NaN
55,NaN,2.98021815534566,NaN
65,0.149234335766933,NaN,1.11474999575059
75,NaN,2.26037280423349,NaN
80,0.10475450866273,NaN,NaN
100,0.108605605403555,1.55414689071316,NaN
150,0.0421243861884516,0.455869366877289,1.52380036362039
200,0.0298334057563733,-0.0686147813020813,1.42121125713947
250,-0.0425156999460492,-0.304852166640067,NaN
300,NaN,NaN,1.14226335817779
350,NaN,-0.00259584913880273,1.51104518059871
450,NaN,NaN,1.3220567681636
600,NaN,NaN,1.0677006629124
700,NaN,NaN,1.11994368035048
900,NaN,NaN,1.14333429271856
1000,NaN,NaN,1.36844120559929
1500,NaN,NaN,0.995875859793005
