t,S2_Obs,ppS3_ppS3_ppS3_Obs,pS2_Obs,geneJ_Obs
0,117.743850988936,-0.0402124399536563,-0.126306620845867,0.972754810392876
10,140.436376422639,0.0126770544157941,-0.246299445439181,NaN
15,NaN,NaN,NaN,1.00837783164754
20,173.939575421386,NaN,NaN,NaN
25,NaN,0.0293050997492849,-0.0387651503435845,NaN
30,NaN,NaN,NaN,0.933233532448002
35,151.955560159805,0.0794884677853642,NaN,NaN
40,NaN,NaN,0.339577613764473,NaN
45,137.818337385439,NaN,NaN,0.700976213971133
50,NaN,-0.144906595362564,NaN,NaN
55,NaN,NaN,0.038880188385311,NaN
60,138.059161179239,NaN,NaN,0.933754494679538
70,NaN,-0.139872404423897,NaN,NaN
75,NaN,NaN,0.0481332963828191,NaN
80,177.649350127537,NaN,NaN,1.02498367745573
90,NaN,-0.18984897873726,NaN,NaN
95,NaN,NaN,0.151990703068046,NaN
100,NaN,NaN,NaN,0.90836786888636
