t,IPR_I1_Obs,IPR_A_Obs
0,3.4739469797974e-09,0.0712589366046054
0.1,NaN,0.636000488653325
0.25,NaN,0.690163716339499
0.35,2.03644577826662e-07,0.592587721248627
0.5,NaN,0.489718382794323
0.65,NaN,0.494934600409048
0.7,1.14215559213949e-07,NaN
0.8,NaN,0.479228559371215
1,7.70209830194851e-08,0.436348712455728
1.5,4.25638500469411e-08,0.386853605770278
2,1.96763550662499e-08,0.427504456888529
2.5,6.21069474024735e-09,0.417893852326963
3,2.33287650245699e-09,NaN
3.5,4.35376971489577e-09,NaN
4.5,1.83777965570992e-09,NaN
5,-4.2828291699174e-10,NaN
6,-1.62302552216706e-09,NaN
