t,IPR_I1_Obs,IPR_A_Obs
0,1.05357826326093e-10,0.0421900777617631
0.15,NaN,0.735892074810488
0.35,NaN,0.583002949265201
0.5,NaN,0.564043930664155
0.7,NaN,0.451504642398278
0.95,NaN,0.379357042961676
1,NaN,0.388451057017002
1.5,NaN,0.327951708744206
2,2.07975024310093e-08,0.421845438161008
2.5,NaN,0.353526135937943
3,NaN,0.397481460892974
4,1.37940084258849e-09,NaN
6,-8.86275741591547e-11,NaN
8,1.5600424776858e-10,NaN
10,-4.85090077001685e-11,NaN
15,-3.40306986214191e-10,NaN
20,2.00562529221469e-10,NaN
