t,IPR_I1_Obs,IPR_A_Obs
0,1.96344480660711e-09,-0.0241599941931133
0.15,NaN,0.740419409497318
0.25,NaN,0.686196714885779
0.3,2.27535419895628e-07,NaN
0.4,NaN,0.614319111301914
0.55,NaN,0.526372619416334
0.65,1.33601379227371e-07,NaN
0.75,NaN,0.415864030110333
0.9,NaN,0.374700206075817
1,8.45877172166215e-08,0.376583317662785
1.5,3.96486627497907e-08,0.377465900719372
2,2.07331804264597e-08,0.392063201397646
2.5,8.65085079306555e-09,NaN
3,7.05275769154693e-09,NaN
3.5,7.68649221197848e-10,NaN
4,3.47233135211507e-09,NaN
5,2.8337197777595e-09,NaN
6,-4.24453554589584e-09,NaN
