t,IPR_I1_Obs,IPR_A_Obs
0,6.67778578434133e-09,-0.0560695715065434
0.2,NaN,0.513520869304343
0.3,6.76275171107245e-07,NaN
0.4,NaN,0.539231190323609
0.6,5.74382526210496e-07,NaN
0.65,NaN,0.551609922090608
0.9,4.03567995231711e-07,0.4664516459643
1,NaN,0.488134134930075
1.5,1.76082581794218e-07,0.417957167851496
2,7.9507536019141e-08,0.367819312029754
2.5,3.56549652287885e-08,NaN
3,4.28624771678263e-08,NaN
3.5,-1.54370360033789e-09,NaN
4,4.56124684740898e-09,NaN
5,9.5507740447292e-09,NaN
6,9.64206631057127e-10,NaN
