observableId	observableName	observableFormula	observableTransformation	noiseFormula	noiseDistribution
Compound_1_Obs_1	Compound_1_Obs	BoundUnspec + IR1in + Ins	lin	sd1_Compound_1_Obs	normal
Compound_1_Obs_2	Compound_1_Obs	BoundUnspec + IR1in + Ins	lin	sd2_Compound_1_Obs	normal
Compound_1_Obs_3	Compound_1_Obs	BoundUnspec + IR1in + Ins	lin	sd3_Compound_1_Obs	normal
Compound_1_Obs_4	Compound_1_Obs	BoundUnspec + IR1in + Ins	lin	sd4_Compound_1_Obs	normal
Compound_2_Obs_1	Compound_2_Obs	BoundUnspec + Ins + Uptake1	lin	sd1_Compound_2_Obs	normal
Compound_2_Obs_2	Compound_2_Obs	BoundUnspec + Ins + Uptake1	lin	sd2_Compound_2_Obs	normal
Compound_2_Obs_3	Compound_2_Obs	BoundUnspec + Ins + Uptake1	lin	sd3_Compound_2_Obs	normal
Compound_3_Obs_1	Compound_3_Obs	scale1_Compound_3_Obs*(IR1in + IR2in + Rec1)	lin	sd1_Compound_3_Obs	normal
Compound_3_Obs_2	Compound_3_Obs	scale2_Compound_3_Obs*(IR1in + IR2in + Rec1)	lin	sd2_Compound_3_Obs	normal
Compound_3_Obs_3	Compound_3_Obs	scale3_Compound_3_Obs*(IR1in + IR2in + Rec1)	lin	sd3_Compound_3_Obs	normal
Compound_4_Obs_1	Compound_4_Obs	scale1_Compound_4_Obs*(BoundUnspec + IR1in + Rec1)	lin	sd1_Compound_4_Obs	normal
Compound_4_Obs_2	Compound_4_Obs	scale2_Compound_4_Obs*(BoundUnspec + IR1in + Rec1)	lin	sd2_Compound_4_Obs	normal
Compound_4_Obs_3	Compound_4_Obs	scale3_Compound_4_Obs*(BoundUnspec + IR1in + Rec1)	lin	sd3_Compound_4_Obs	normal
Compound_5_Obs_1	Compound_5_Obs	scale1_Compound_5_Obs*(IR1 + InsulinFragments + Uptake1)	lin	sd1_Compound_5_Obs	normal
Compound_5_Obs_2	Compound_5_Obs	scale2_Compound_5_Obs*(IR1 + InsulinFragments + Uptake1)	lin	sd2_Compound_5_Obs	normal
Compound_5_Obs_3	Compound_5_Obs	scale3_Compound_5_Obs*(IR1 + InsulinFragments + Uptake1)	lin	sd3_Compound_5_Obs	normal
Compound_5_Obs_4	Compound_5_Obs	scale4_Compound_5_Obs*(IR1 + InsulinFragments + Uptake1)	lin	sd4_Compound_5_Obs	normal
