t,STAT_Obs,npSTAT_npSTAT_Obs,nSTAT1_Obs,nSTAT4_Obs
0,0.991182217056562,0.00492080917986348,-0.00612967076705686,-0.00102930593658687
5,0.0810950280259992,NaN,NaN,0.00854877394759294
9.5,0.0171624449249725,0.173256147153635,0.358388080766465,NaN
10,NaN,NaN,NaN,0.21465016601846
15,0.0538472129108133,NaN,NaN,0.319036672192468
20,0.0252571781962219,0.136001330087463,0.267987026699075,NaN
25,0.0480988766597298,NaN,NaN,0.278580719533428
30,0.0659220524369985,0.130959453502983,0.263343052098226,0.268534660352287
35,NaN,NaN,NaN,0.257491565781247
40,0.296594735754828,0.0968149563528339,0.198196664310995,NaN
45,0.493185671413188,NaN,NaN,0.192112138655643
50,NaN,0.0390276699731353,NaN,NaN
55,0.798261815869347,NaN,0.0609970685750418,0.0876820425638333
65,0.969481250829667,0.00957218541695974,0.0144535398110442,NaN
70,NaN,NaN,NaN,0.0171214449391223
80,0.979746113194568,0.000463415207824304,0.00380289332040479,NaN
85,NaN,NaN,NaN,0.00534944623004063
95,0.989580087407161,NaN,NaN,NaN
100,NaN,0.00186008986207946,0.00519159216380703,NaN
150,NaN,0.0015624459754321,-0.000738528792020367,NaN
200,NaN,NaN,-0.00221138625188821,NaN
