t,pEGFR_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,220880.180851154,-6.28925988568213e-05,144.405830167595,-0.000184105982180742,-4.13369492081104e-07,164765.726614179
40,NaN,NaN,NaN,NaN,NaN,4952694.27613425
50,3024562.87315499,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,4063060.3572715
100,2222766.53775016,NaN,171.96624812584,NaN,NaN,2711606.8621837
150,1109180.48919344,NaN,NaN,NaN,NaN,1066027.20173528
200,293973.821396844,NaN,259.704827411347,NaN,NaN,28669.6884519528
250,NaN,0.00365927839341454,NaN,NaN,NaN,252886.621154195
300,-327106.866441602,NaN,275.239068796001,NaN,NaN,338096.729609978
350,12100.3468087886,NaN,NaN,NaN,NaN,NaN
400,NaN,NaN,NaN,NaN,-4.37892908197898e-07,151867.746667034
450,153000.96646376,NaN,174.182704488005,0.00122065344345403,NaN,94739.4243662574
500,NaN,0.000553800486526041,NaN,NaN,NaN,NaN
550,-87101.3524871985,NaN,NaN,NaN,NaN,-274801.231375265
600,NaN,NaN,117.541632804302,NaN,NaN,NaN
650,NaN,NaN,NaN,NaN,NaN,-314063.569842113
700,114077.326776084,NaN,NaN,NaN,NaN,NaN
750,NaN,8.3777750427628e-05,NaN,NaN,NaN,75826.5625223522
800,NaN,NaN,99.8293904828886,NaN,2.05033444500932e-06,NaN
850,47238.0024391701,NaN,NaN,NaN,NaN,NaN
950,NaN,NaN,NaN,0.00120891332498814,NaN,NaN
1000,28217.3559701396,1.13198558779841e-05,288.51194067923,NaN,NaN,NaN
1500,NaN,-6.89771585112881e-05,248.174708503958,0.00064438632435785,4.24052546474274e-06,NaN
2000,NaN,0.000156312635141768,NaN,0.000618962389432831,4.69972478445105e-06,NaN
2500,NaN,-6.23055935870193e-05,NaN,0.000621896356935173,NaN,NaN
3000,NaN,-0.000167900965682937,NaN,NaN,4.36982170708683e-06,NaN
3500,NaN,NaN,NaN,0.000713145681623012,3.54553054795591e-06,NaN
4000,NaN,NaN,NaN,0.00058091570264295,4.64969702120581e-06,NaN
5000,NaN,NaN,NaN,0.000468150404760863,3.68148774383011e-06,NaN
6000,NaN,NaN,NaN,0.000358050400849725,3.47339671925516e-06,NaN
7000,NaN,NaN,NaN,9.06869614542101e-05,NaN,NaN
7500,NaN,NaN,NaN,NaN,4.47079890750911e-06,NaN
8500,NaN,NaN,NaN,0.000483800407148451,1.61489927824198e-06,NaN
