t,pEGFR_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,13626.8986906231,-7.09683215548998e-05,299.603521872378,-6.46366008279122e-05,9.85518371203372e-07,28751.8991310798
60,NaN,NaN,281.575588257997,NaN,NaN,NaN
100,NaN,NaN,175.064500541658,NaN,NaN,NaN
150,575168.12818836,NaN,NaN,NaN,NaN,698550.67163026
200,NaN,NaN,260.194823726431,NaN,NaN,NaN
250,NaN,NaN,261.357415895366,NaN,NaN,NaN
300,NaN,0.00243462380078708,249.525314434963,NaN,NaN,514299.477581103
350,287101.212162473,NaN,NaN,NaN,NaN,NaN
400,NaN,NaN,193.839814751961,NaN,NaN,NaN
450,NaN,NaN,NaN,NaN,7.2246131043316e-07,NaN
500,142715.288964408,NaN,206.476104673279,0.000796059629538684,NaN,243196.20069154
550,NaN,0.00138420296857056,NaN,NaN,NaN,NaN
650,NaN,NaN,227.597720108264,NaN,NaN,133451.455917639
700,92434.3233752925,NaN,NaN,NaN,NaN,NaN
750,NaN,NaN,257.85681029696,NaN,NaN,NaN
850,NaN,NaN,NaN,NaN,NaN,165432.771352231
900,67770.7508519558,0.000455900425594943,NaN,NaN,1.40808573148112e-07,NaN
950,NaN,NaN,163.179816833251,NaN,NaN,NaN
1000,32201.6220967004,0.000449416669811005,NaN,0.000872212576820048,NaN,60798.2089978331
1500,-29108.9254237829,8.70801492772098e-05,NaN,0.00086861555814798,2.77326118744735e-06,67295.9902773008
2000,32283.5958656854,7.54964603237492e-05,NaN,0.000990824328599284,2.90661148434177e-06,-1075.02376615004
2500,-26880.0810919152,4.5751894211171e-05,NaN,0.000758488914618789,3.23388677796452e-06,26562.2980465396
3000,50200.6010334534,NaN,NaN,NaN,3.03044409348391e-06,3868.05549855849
3500,NaN,3.7037818769719e-05,NaN,0.000796414833872335,NaN,NaN
4000,NaN,NaN,NaN,0.000499755992479717,3.95842098857485e-06,NaN
4500,NaN,NaN,NaN,NaN,3.63660500600403e-06,NaN
5000,NaN,NaN,NaN,0.000543184370343132,NaN,NaN
6000,NaN,NaN,NaN,0.000399070387068352,2.6120410292829e-06,NaN
7000,NaN,NaN,NaN,NaN,1.85498255083367e-06,NaN
7500,NaN,NaN,NaN,0.000254641448765851,NaN,NaN
8500,NaN,NaN,NaN,7.15547838738406e-05,1.43823474851694e-06,NaN
