t,pEGFR_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,2347.37321096061,-5.12363339552395e-07,287.849919232724,-3.29035492293275e-05,-7.71140478504802e-08,640.790901458282
250,NaN,NaN,NaN,NaN,NaN,86970.8861139447
300,55099.564976408,NaN,220.590222824386,NaN,NaN,NaN
400,NaN,NaN,NaN,NaN,4.62091072331106e-08,NaN
550,NaN,NaN,NaN,7.32283241289026e-05,NaN,65319.8889188085
600,NaN,0.00029389524753415,253.276909165366,NaN,NaN,NaN
650,30798.260250193,NaN,NaN,NaN,NaN,NaN
850,NaN,NaN,NaN,NaN,1.77574365982837e-07,42284.8861443864
950,NaN,NaN,207.862647916519,NaN,NaN,NaN
1000,20459.4703176974,NaN,NaN,0.000201152313638188,NaN,36777.5775823389
1500,12150.1268423723,9.01609177523591e-05,164.537100982674,0.000165392968794835,6.37441866968106e-07,24774.6549799369
2000,9571.22441517844,5.23069155020843e-05,197.807962939152,NaN,NaN,12402.3285164838
2500,4847.03973998961,4.6017588943975e-05,178.456149766616,0.00018528806118198,1.0293821905568e-06,2851.75772216264
3000,4732.65263175252,NaN,NaN,0.000207656930272932,9.0905747586706e-07,NaN
3500,3079.38937328097,-4.00774643105869e-06,176.886891075977,NaN,1.22262203773812e-06,3597.62577697928
4000,154.535700896087,NaN,163.864997229804,0.000122853734220767,9.28890162973752e-07,-274.688335466017
4500,NaN,9.32716468149595e-06,NaN,NaN,NaN,3402.80374976667
5000,633.651498253071,NaN,283.278511176004,9.28797661515379e-05,9.60039180925327e-07,NaN
5500,NaN,-1.73282729557942e-06,NaN,NaN,NaN,10752.7562481858
6000,1208.34206233368,NaN,156.843604829869,7.63333464826673e-05,5.13945248739164e-07,NaN
7000,NaN,7.85895945536503e-06,NaN,6.79411445434253e-05,NaN,NaN
7500,NaN,NaN,NaN,NaN,8.12323168130302e-07,NaN
8500,NaN,1.20276068847285e-05,NaN,1.702853834185e-05,6.15065762346592e-07,NaN
