t,pEGFR_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,-4056.17598457485,-4.83883052547245e-05,195.548634152508,8.12128137593917e-05,1.8415713306984e-07,-17518.5866655432
70,NaN,NaN,272.635162414472,NaN,NaN,NaN
150,NaN,NaN,202.817362769319,NaN,NaN,NaN
200,NaN,NaN,193.39449512056,NaN,NaN,NaN
300,145621.685157449,NaN,241.668516164237,NaN,NaN,210885.845072071
400,NaN,NaN,325.47966405981,NaN,3.0553897651114e-07,NaN
450,NaN,0.000812687251308036,NaN,NaN,NaN,NaN
500,NaN,NaN,252.958208160093,NaN,NaN,NaN
550,98978.439655533,NaN,NaN,0.000200342197378472,NaN,NaN
600,NaN,NaN,122.578926212709,NaN,NaN,122368.0706603
750,NaN,NaN,114.944733205767,NaN,NaN,NaN
850,67309.9413984202,NaN,NaN,NaN,6.67806528835091e-08,NaN
900,NaN,0.000481851838006429,200.504797455854,NaN,NaN,55058.8356237721
1000,48676.5874783852,NaN,250.561792004178,0.000380869180523475,NaN,NaN
1500,18836.6702208065,0.000159286176739497,184.533574859957,0.000534737429470628,2.07433282513712e-06,52702.166647499
2000,11184.9048479446,3.12593333756048e-05,NaN,NaN,1.90345488651657e-06,28332.3666162474
2500,15886.213457729,1.98836281551249e-05,NaN,0.000460859488360962,NaN,NaN
3000,-15761.3413859768,NaN,NaN,0.000458914849636806,2.1305912885793e-06,12514.0527590793
3500,7442.17717533546,1.11756323336608e-05,NaN,NaN,2.74298116363975e-06,NaN
4000,-1550.39326542439,-3.05775083556279e-05,NaN,0.000484829937715501,2.52630310881315e-06,NaN
4500,NaN,NaN,NaN,0.000234664724451778,NaN,NaN
5000,1537.135723944,-4.03610741920186e-06,NaN,NaN,2.16704453459686e-06,NaN
6000,NaN,NaN,NaN,0.000278004896913793,1.61292794033968e-06,NaN
6500,NaN,4.95242477764213e-06,NaN,NaN,NaN,NaN
7000,NaN,NaN,NaN,0.000115504934608844,NaN,NaN
7500,NaN,NaN,NaN,NaN,1.19792739366515e-06,NaN
8500,NaN,NaN,NaN,0.000184381125106686,7.88904496416586e-07,NaN
