t,pEGFR_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,41746.1542049135,7.7768231245343e-05,235.627536154009,-8.93144570711836e-05,-1.15276315813528e-06,8645.54171450758
35,4934855.18068273,NaN,NaN,NaN,NaN,8586120.9893661
75,2783952.07704673,NaN,NaN,NaN,NaN,3025317.08571145
85,NaN,NaN,235.077113614951,NaN,NaN,NaN
100,1593396.15979202,NaN,NaN,NaN,NaN,1421828.47302368
150,401067.077524856,NaN,NaN,NaN,NaN,168950.302262565
200,123319.500855721,NaN,122.770805108273,NaN,NaN,588634.884421663
250,-113770.204241236,NaN,271.260292653937,NaN,NaN,242382.971354414
300,-171251.440117656,0.00173171539156395,NaN,NaN,NaN,57256.8445130705
350,NaN,NaN,NaN,NaN,-2.88305922414377e-07,NaN
400,311325.251462674,NaN,186.679330369856,NaN,NaN,352195.563876558
450,-492252.889950892,NaN,NaN,0.00108204974464112,NaN,NaN
500,NaN,NaN,176.238352387032,NaN,NaN,80203.900001567
550,-124084.008169529,NaN,NaN,NaN,NaN,NaN
600,NaN,0.000153197897297177,NaN,NaN,NaN,105230.128263533
650,-104871.054373012,NaN,280.327212878835,NaN,NaN,NaN
700,NaN,NaN,NaN,NaN,1.60049987603585e-06,NaN
850,NaN,NaN,250.862848307634,NaN,NaN,NaN
950,NaN,-5.49685254448768e-05,NaN,0.00117742860353794,NaN,NaN
1000,NaN,NaN,170.797912214985,NaN,2.74665045269167e-06,NaN
1500,NaN,-4.29793688062912e-05,107.184873155754,0.000810222338555968,6.18539164216244e-06,NaN
2000,NaN,4.87360166789485e-05,NaN,0.00107019914531148,3.78742825363705e-06,NaN
2500,NaN,8.52892476038566e-05,NaN,0.000744751197638236,4.57239688200557e-06,NaN
3000,NaN,4.16916533305549e-05,NaN,NaN,4.28922379229918e-06,NaN
3500,NaN,0.000102162504193259,NaN,0.000541660277075308,3.46697406590058e-06,NaN
4000,NaN,NaN,NaN,0.000481273676533004,NaN,NaN
4500,NaN,NaN,NaN,NaN,3.71308013158551e-06,NaN
5000,NaN,NaN,NaN,0.000486630975259544,2.41953852767885e-06,NaN
6000,NaN,NaN,NaN,0.000527394315231032,2.55260235526393e-06,NaN
7500,NaN,NaN,NaN,0.000152577469040452,2.3616727683958e-06,NaN
8500,NaN,NaN,NaN,0.000169605992961227,2.84568343141342e-06,NaN
