t,pEGFR_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,111803.498460683,-3.23638458440288e-05,278.894434279007,-2.25704944748341e-05,2.42185266704809e-07,-103828.712680372
70,NaN,NaN,NaN,NaN,NaN,2168118.57648246
75,NaN,NaN,199.339973959768,NaN,NaN,NaN
80,1393772.36244642,NaN,NaN,NaN,NaN,NaN
150,974246.066920946,NaN,192.015944825168,NaN,NaN,1468730.21128031
200,NaN,NaN,NaN,NaN,NaN,1258641.98461532
250,630451.233343433,0.00395142095447064,202.781154540557,NaN,NaN,NaN
300,NaN,NaN,159.941726608878,NaN,NaN,398564.546694237
350,320776.952673732,NaN,NaN,NaN,NaN,NaN
400,NaN,NaN,166.644204021112,NaN,1.91361526933206e-06,377326.728572146
450,164210.782120396,NaN,NaN,NaN,NaN,NaN
500,NaN,NaN,175.825118000135,0.00107429537714387,NaN,167249.424221046
550,93046.1122052281,0.000990342267628891,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,NaN,-121697.89790398
650,51142.8199348462,NaN,213.984144497336,NaN,NaN,NaN
750,NaN,NaN,NaN,NaN,NaN,-16656.2208549628
800,113628.161111985,NaN,197.590200967493,NaN,NaN,NaN
850,NaN,0.000376682285309573,NaN,NaN,3.05727106949238e-06,NaN
950,NaN,NaN,NaN,0.00113732093305427,NaN,78165.7302492084
1000,-34936.059743134,0.000111919975954675,209.846272050649,NaN,NaN,-72109.9542546024
1500,-38556.5682262007,3.29718306486672e-06,NaN,0.00100922415981326,3.31678261169313e-06,116830.464279737
2000,NaN,0.000203455503970454,NaN,0.00102825736982912,4.39330893459455e-06,NaN
2500,NaN,-0.000365310502009202,NaN,0.000690882542227835,NaN,NaN
3000,NaN,2.9083206364196e-05,NaN,NaN,4.60021533667455e-06,NaN
3500,NaN,NaN,NaN,0.000630083013779452,4.46343494913416e-06,NaN
4000,NaN,NaN,NaN,0.000361425311549891,5.3409368995385e-06,NaN
5000,NaN,NaN,NaN,0.000474233809913914,4.72077850594595e-06,NaN
6000,NaN,NaN,NaN,0.000607653333899876,3.27509903449554e-06,NaN
7500,NaN,NaN,NaN,0.000376307058135676,1.74263881574014e-06,NaN
8500,NaN,NaN,NaN,0.000483337465182406,1.54221229954951e-06,NaN
