t,Rec_Obs,JAK2_Obs,STAT5_Obs,SOCS3mRNA_Obs,Rec_i_Obs
0,1.11400040663981,2.81856225957496,128.935881637134,-0.0625368181580537,158.62541428882
3,0.939972103374238,NaN,NaN,NaN,NaN
3.5,NaN,NaN,NaN,NaN,164.071190176089
5,NaN,NaN,228.68021428107,-0.138812326543188,NaN
5.5,NaN,2.31133813058971,NaN,NaN,NaN
6.5,1.53729262461945,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,146.165064463204
10,0.927034717011218,2.52010184585285,213.175494590374,-0.200838343577784,160.34420781341
15,1.46774891740963,NaN,151.113741098455,-0.206530204635821,211.772739525279
20,1.85468116620366,2.81708530389046,NaN,0.22224600642221,229.571484431384
25,1.10895989735602,3.0076012223426,162.886099982605,NaN,155.11822854311
30,1.57329220354352,NaN,149.651493493809,0.430923548136973,188.90871004428
35,1.36528649525609,2.18795760185275,NaN,-0.127367485410453,NaN
40,1.17792309137544,NaN,NaN,NaN,194.228112445124
45,NaN,NaN,NaN,-0.165035439234992,NaN
50,1.59257124397922,NaN,NaN,NaN,178.181145618862
60,1.53425235863259,NaN,NaN,NaN,NaN
