t,Rec_Obs,pJAK2_Obs,pSTAT5_Obs,SOCS3mRNA_Obs,DecoyR_Obs,IL13_DecoyR_Obs
0,1.42264830263708,-0.060021350202973,9.84541616285533,-20.4575550522243,0.321229767901354,0.0433426134350122
6,NaN,NaN,NaN,NaN,0.232969146441637,NaN
6.5,NaN,NaN,NaN,NaN,NaN,0.103845595021327
10,1.45682087366685,0.473019565005491,11.4703593860141,27.7137771009539,0.203952379104994,NaN
15,NaN,NaN,NaN,NaN,NaN,0.22599886739
20,NaN,NaN,NaN,27.711247992566,0.129409783754232,0.263109355415577
25,1.53635201382971,0.728786145478159,56.3427782269487,NaN,0.0921384980544973,NaN
30,NaN,NaN,NaN,48.5420531876352,NaN,0.328086095573526
35,1.4545351357251,0.769181745564924,60.6337525730191,NaN,0.0531667907429663,NaN
40,NaN,NaN,NaN,168.291552401535,NaN,0.349389413300313
45,NaN,NaN,NaN,NaN,0.0177878432709524,NaN
50,1.69516845692998,0.715821079514679,82.7261331195464,NaN,NaN,0.20415709191042
55,NaN,NaN,NaN,293.04759585771,0.0177910869738972,NaN
60,NaN,NaN,91.7519803987674,NaN,NaN,0.357247095940823
65,1.24847983479436,0.587454886618788,NaN,289.99017305789,NaN,NaN
80,1.36010196210148,0.451724866073273,80.8824001048849,201.43115908755,NaN,NaN
95,NaN,0.340789102501775,76.5466955413549,NaN,NaN,NaN
100,1.88473355181459,0.256831643000603,77.9041886115358,386.146641757257,NaN,NaN
150,1.69414761711647,0.122869447843198,48.1229224183321,652.127592053568,NaN,NaN
200,1.40570815928647,0.13707754942648,32.1424817932239,891.529134758793,NaN,NaN
250,1.3804161841029,0.212502377201795,45.5428600057542,971.044729790957,NaN,NaN
300,1.62739151178643,NaN,34.5476329518609,1187.28861781531,NaN,NaN
