t,Rec_Obs,JAK2_Obs,pJAK2_Obs,STAT5_Obs,pSTAT5_Obs,SOCS3mRNA_Obs,IL13_DecoyR_Obs,CD274mRNA_Obs
0,1.31536416095718,2.02543582920374,-0.087013632668965,148.661383237234,12.5146467057281,110.837987903097,0.111245404891248,21.3143219726221
3,NaN,NaN,NaN,NaN,NaN,NaN,0.204634675004079,NaN
6,NaN,NaN,NaN,NaN,NaN,NaN,0.284845175352141,NaN
9.5,NaN,NaN,NaN,NaN,NaN,NaN,0.345821395624811,NaN
10,NaN,NaN,NaN,NaN,NaN,88.8377764832638,NaN,0.94648365031793
15,1.13269452698526,1.27796740435514,1.95740913934218,88.3406093609614,68.8335558941553,NaN,0.286281142216042,NaN
20,NaN,NaN,NaN,NaN,NaN,NaN,0.332215012118945,NaN
25,1.17940890254488,0.514801392922544,1.85091249415081,69.6570551880688,86.3182010130361,171.274953656114,0.314789602193742,8.82102785800251
30,NaN,NaN,NaN,NaN,NaN,NaN,0.279567889943857,NaN
35,NaN,NaN,NaN,NaN,NaN,310.719838737103,NaN,NaN
40,0.898732096983489,1.69720186146721,1.53186884545639,27.7190615573969,128.080380611028,NaN,NaN,74.8105395738145
45,NaN,NaN,NaN,NaN,NaN,406.14065319453,NaN,NaN
55,1.05820277842747,1.60802037837407,NaN,23.3983176947525,110.243950540651,NaN,NaN,88.4824962666094
60,NaN,NaN,1.28556406256151,NaN,NaN,375.663396277533,NaN,NaN
70,1.27710162271613,1.71160722192386,NaN,60.5600190758548,92.4513794375161,NaN,NaN,132.350293930362
75,NaN,NaN,0.815353800082235,NaN,NaN,584.588254113861,NaN,NaN
85,1.38857866459525,NaN,NaN,NaN,NaN,NaN,NaN,288.756898001535
90,NaN,1.82470082105875,NaN,68.4660451701336,84.2351281838536,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,465.906343603781,NaN,NaN
100,1.42060964831945,2.34045530895027,0.83255961860698,71.8095985080005,126.256285737239,622.950490070161,NaN,255.093883982317
150,1.25798196452679,2.01351197640625,0.521627082808469,100.027641376449,90.0336256992882,1168.56695929722,NaN,397.65622319614
200,1.31615712145405,2.49750452800077,0.420468988950992,66.6838632965121,65.7077665379496,1160.82206153243,NaN,474.104959953693
250,0.836288725154368,2.36683099873422,0.354474033625195,91.1525203754107,75.1162470413898,1740.36806692666,NaN,614.996034555197
300,1.26968997393053,NaN,NaN,97.3943054831794,84.2713594264643,1883.97883850438,NaN,694.699855866092
