t,JAK2_Obs,STAT5_Obs,SOCS3mRNA_Obs,DecoyR_Obs
0,2.72163701581982,147.746730481637,108.484900518295,0.339882380040109
3,NaN,NaN,NaN,-0.00565737813720774
6,NaN,NaN,NaN,0.00420279522833396
9.5,NaN,NaN,NaN,-0.00394948158151561
10,NaN,88.9676556746357,NaN,NaN
15,0.561727063394243,NaN,241.585157376896,0.00504789772656656
20,NaN,NaN,NaN,0.00220013286260376
25,0.736334032909101,38.7533744464428,NaN,-0.00285339756602954
30,NaN,NaN,313.460999684893,-0.00260303947672302
35,NaN,50.287013223088,NaN,NaN
40,0.480815094122488,NaN,NaN,NaN
45,NaN,NaN,308.614559728256,NaN
50,NaN,32.7685812336858,NaN,NaN
55,1.14336950075776,NaN,NaN,NaN
60,NaN,NaN,276.253761512078,NaN
65,NaN,34.1887783378544,NaN,NaN
75,1.39149294875775,NaN,NaN,NaN
80,NaN,36.9495761904225,NaN,NaN
85,NaN,NaN,399.478399094056,NaN
90,1.70419473825781,NaN,NaN,NaN
100,1.94835955822343,32.5166592193328,997.600851435505,NaN
150,1.7232988610642,68.4156300001334,1214.2134759575,NaN
200,1.84826269560449,77.4658357206466,1859.08394433988,NaN
250,2.09128762251745,65.0774465433768,1791.08418465029,NaN
300,NaN,61.4367514792806,2302.34015300341,NaN
