t,S2_S4_S4_Obs,S4_S4_S4_Obs,ppS3_ppS3_S4_Obs,ppS2_S4_S4_Obs,geneB_Obs
0,-0.169749906062482,-0.0919571186313747,-0.00422386896344934,-0.0254900992068309,0.934956347584651
9.5,0.043999434432805,NaN,NaN,NaN,NaN
10,NaN,0.0936544697070062,0.0967213572573942,NaN,1.12068296709783
15,NaN,NaN,NaN,-0.0500978414048404,NaN
20,0.000555885857031018,NaN,NaN,NaN,NaN
25,NaN,-0.0270532827529475,-0.00605787616139089,NaN,0.917631260102374
30,0.0633661452110043,NaN,NaN,-0.0993354674049871,NaN
35,NaN,NaN,-0.00866266285787979,NaN,NaN
40,0.0184337636965572,-0.010100397999589,NaN,NaN,0.99151059135213
45,NaN,NaN,NaN,-0.175704707140504,NaN
50,NaN,NaN,0.105884140307522,NaN,0.983033975694646
55,-0.0438550758550952,-0.0142253964424212,NaN,NaN,NaN
65,NaN,NaN,-0.147833962508662,0.0268565441521233,NaN
70,0.0180405684372829,0.0414124495842451,NaN,NaN,1.0668523660474
85,NaN,NaN,0.0794301902789288,-0.00774152169553919,NaN
90,NaN,NaN,NaN,NaN,0.926888666870166
95,NaN,-0.134032370746062,NaN,NaN,NaN
100,NaN,NaN,NaN,-0.00700211155679818,NaN
