t,S2_S4_S4_Obs,S4_S4_S4_Obs,ppS3_ppS3_S4_Obs,ppS2_S4_S4_Obs,geneB_Obs
0,0.0635776456362167,-0.0914073649810828,0.0244448124568834,-0.0980836422016316,1.00802193274891
10,-0.090363454981504,-0.103352184520384,0.0693645643107939,-0.111390939156742,1.00787345626623
20,0.120629457068084,0.0132921635302987,NaN,NaN,NaN
25,NaN,NaN,0.0309937325837118,0.054278418124356,1.09621417121559
30,NaN,-0.167693271061591,NaN,NaN,NaN
35,0.120128165276432,NaN,0.176846478773246,0.0902072194924495,NaN
40,NaN,NaN,NaN,NaN,0.856087127481188
45,0.166553133966421,-0.0592522432703269,NaN,NaN,NaN
50,NaN,NaN,-0.175236160757472,0.109665052956378,NaN
55,NaN,NaN,NaN,NaN,0.962936799799866
60,0.0617309515907598,0.0820495090362626,NaN,NaN,NaN
65,NaN,NaN,-0.0837626455842175,-0.0295942960591213,NaN
70,NaN,NaN,NaN,NaN,1.11133305675754
75,-0.0176320362228978,NaN,NaN,NaN,NaN
80,NaN,0.125293599248346,NaN,NaN,NaN
85,NaN,NaN,0.025706112516795,-0.0647777345953781,NaN
95,0.0446620561016569,NaN,NaN,NaN,1.08793812062949
100,NaN,NaN,0.0491523939761358,NaN,NaN
