t,TGFb_Obs,TGFb_pRec_Obs,ppS2_S4_S4_Obs,geneB_Obs,geneI_Obs
0,1.03177641939832,-9.00291153912201e-05,-0.0806602267802931,1.5857496537341,0.856746460391641
20,0.557667974246594,NaN,NaN,NaN,NaN
30,NaN,0.198445455060127,NaN,NaN,NaN
35,NaN,NaN,NaN,5.69475616029285,NaN
40,NaN,NaN,2.16867164587412,NaN,NaN
45,0.381094068557069,NaN,NaN,NaN,NaN
65,NaN,0.125460597459566,NaN,9.07652986227799,NaN
70,0.174043407325628,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,0.714868959834086
80,NaN,NaN,2.05871238472022,NaN,NaN
95,0.118174673862546,NaN,NaN,NaN,NaN
100,NaN,0.0556729830411513,NaN,11.1371023759898,NaN
150,0.0647135624311051,0.0249993956920532,1.05443954982205,12.6761035814316,0.577148126269192
200,-0.0147656593733313,0.00159067259216237,0.593082441768833,12.7236230800365,NaN
250,NaN,0.00955150102543546,0.317433742150964,13.0907708993325,0.551115544415728
300,NaN,NaN,0.0488626694332366,NaN,0.568372544877041
350,NaN,NaN,NaN,8.20070837597116,NaN
400,NaN,NaN,NaN,5.32570866116862,0.670387932477509
500,NaN,NaN,NaN,2.96422614931609,NaN
550,NaN,NaN,NaN,1.84568369468599,0.574949085469112
650,NaN,NaN,NaN,0.759130712192628,0.669345135432907
800,NaN,NaN,NaN,NaN,0.782647710350313
1000,NaN,NaN,NaN,NaN,1.11070264736591
1500,NaN,NaN,NaN,NaN,0.860956394302628
