t,TGFb_Obs,ppS3_Obs,ppS2_S4_S4_Obs,geneB_Obs,geneI_Obs
0,0.99184862406206,-0.00763042909379996,-0.00283890644614428,1.15911466233527,1.01684049142779
20,0.625548998285472,NaN,NaN,NaN,NaN
30,NaN,NaN,8.81606196035144,NaN,NaN
35,0.47092502242719,NaN,NaN,NaN,NaN
40,NaN,0.167114272758612,NaN,5.70327495137009,NaN
60,0.252276199379322,NaN,NaN,NaN,NaN
65,NaN,NaN,8.63020436746801,NaN,NaN
75,NaN,NaN,NaN,NaN,0.960838315154686
80,0.181603717880978,NaN,NaN,12.3757311411413,NaN
85,NaN,0.158003118057446,NaN,NaN,NaN
100,0.0949775012545198,NaN,7.11390480111749,12.5049954835115,NaN
150,0.0357103185805735,0.158833299384589,4.31149672505908,13.9589000534784,0.962004628206536
200,0.00505681531110841,0.149615285302204,1.53206121513432,14.0762689836922,NaN
250,NaN,0.117295605026089,1.21652520822473,NaN,0.922173822916586
300,NaN,0.0848506757974092,0.338761426266657,8.51701844112852,NaN
350,NaN,0.0454634950205609,NaN,5.96916200202529,0.713751506539198
450,NaN,0.0149971720653704,NaN,2.80286660026599,0.472091828177856
500,NaN,0.0103103532278549,NaN,1.81216518605434,NaN
550,NaN,NaN,NaN,NaN,0.415449464792196
600,NaN,NaN,NaN,1.09651920253685,NaN
650,NaN,-0.00612032619849662,NaN,NaN,0.449974576614465
750,NaN,0.0033814416998722,NaN,-0.171979142609318,NaN
800,NaN,NaN,NaN,NaN,0.735785655339362
1000,NaN,NaN,NaN,NaN,0.809874159536569
1500,NaN,NaN,NaN,NaN,0.922656100656223
