t,S2_S4_S4_Obs,S4_S4_S4_Obs,ppS3_ppS3_S4_Obs,ppS2_S4_S4_Obs,geneB_Obs
0,0.0453257653731715,0.178277175273349,-0.0329676165595657,0.00909559197650795,1.05248178506852
10,0.0127996963850596,0.0371361844031848,-0.0499785539270766,0.159383448207723,NaN
15,NaN,NaN,NaN,NaN,0.954961669957802
20,NaN,NaN,-0.099500374227472,-0.159877306825725,NaN
25,0.031219172546869,-0.00428436286489152,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN,0.954602100814307
35,NaN,NaN,-0.109099486408786,0.0676952165261883,NaN
40,0.103733485273863,0.0477001478525766,NaN,NaN,NaN
45,NaN,NaN,-0.0964681437128242,-0.023275758191035,NaN
50,NaN,NaN,NaN,NaN,0.987720532268135
55,-0.151211218048821,-0.132162584242805,NaN,NaN,NaN
60,NaN,NaN,-0.127979054797313,-0.0179799568749014,NaN
70,-0.00309465456827354,0.0195311806543269,NaN,NaN,0.935935895941059
75,NaN,NaN,0.039317464925034,NaN,NaN
80,NaN,NaN,NaN,0.049216065508281,NaN
90,NaN,-0.00954321925024264,NaN,NaN,0.864028520987914
95,0.100748982469611,NaN,0.00907855154898221,NaN,NaN
