t,pS2_Obs,ppS3_Obs,ppS2_S4_S4_Obs,geneB_Obs,geneI_Obs
0,-0.542120066217012,0.00268178060867179,1.37736216477363,1.19357610039095,1.03376093871671
35,31.1228855713832,NaN,12.9087294002464,NaN,NaN
40,NaN,NaN,NaN,6.90161557192647,NaN
45,NaN,0.108346464265408,NaN,NaN,NaN
70,26.3963426176331,NaN,12.5753924477972,NaN,NaN
80,NaN,NaN,NaN,10.4848061808553,NaN
85,NaN,NaN,NaN,NaN,0.920688405516101
90,NaN,0.0977732712724789,NaN,NaN,NaN
100,18.4419111267514,NaN,10.096356007112,13.448704043602,NaN
150,7.94147595114847,0.100281415255297,6.7783792976594,14.6721585126478,1.00615660685129
200,3.82905492854624,0.101339576213126,4.65397411909071,13.5548141221639,NaN
250,1.32352292316808,0.0875980231952261,1.68692237989554,11.9557962860335,0.815153361701706
300,0.655808113183408,NaN,NaN,NaN,NaN
350,-0.183876707772017,0.0420269546928951,1.21199348065397,7.75750827691076,0.596325280333057
400,NaN,NaN,NaN,5.63782380977678,NaN
450,0.105636345873354,NaN,NaN,NaN,NaN
500,NaN,NaN,NaN,4.08305669022506,0.308934714280718
550,0.295341460877089,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,2.47624770803531,0.37439117094504
650,0.534509978438313,NaN,NaN,NaN,NaN
700,NaN,NaN,NaN,-0.0127281486247743,NaN
750,NaN,NaN,NaN,NaN,0.500848477327193
950,NaN,NaN,NaN,NaN,0.879049752779317
1000,NaN,NaN,NaN,NaN,0.893747217377504
1500,NaN,NaN,NaN,NaN,1.00125361651698
