t,S2_S4_S4_Obs,S4_S4_S4_Obs,ppS3_ppS3_S4_Obs,ppS2_S4_S4_Obs,geneB_Obs
0,-0.0844470645225816,0.0793697767492997,0.216388051383292,0.0796894485584759,1.11911822345226
10,0.0882741735926497,NaN,-0.0771985820940625,0.0426423073854079,1.02882476254488
15,NaN,0.162569711168932,NaN,NaN,NaN
20,0.0227616219186563,NaN,NaN,NaN,0.981760752297102
25,NaN,0.0514834232563351,0.0126987067982327,-0.0162820970673156,NaN
35,-0.0479227723842901,NaN,NaN,NaN,0.838991855644528
40,NaN,-0.0125045946222171,-0.117919989175914,0.107038919538233,NaN
45,0.0283692369502072,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,0.984645001276749
55,NaN,NaN,-0.0983190285876343,0.0556168319386186,NaN
60,-0.051309675606137,-0.00345209864753433,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,0.954240416424944
70,NaN,NaN,0.0334952017543549,-0.153898398390436,NaN
75,NaN,-0.0199136754552348,NaN,NaN,NaN
80,0.0046785827270013,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,0.920518001963789
90,NaN,NaN,-0.0498899151646017,-0.0145965325514087,NaN
100,NaN,-0.0328087190983071,NaN,NaN,NaN
