t,ppS3_Obs,geneI_Obs
0,0.0114207344313488,0.998273765733694
50,0.200695258837702,0.987079367446198
95,0.19417078829907,0.976766320496831
150,0.19802867662294,1.02164386744893
200,0.192145817537814,0.883358720546476
250,0.153951006181353,0.917956025129171
350,0.0688544263684009,0.726979875588919
400,0.0331675834984232,0.697697285866893
500,0.00729695912722348,0.574186307543607
600,0.0068173602333319,0.399909555796382
700,0.00322482184856683,NaN
750,NaN,0.707761404015073
850,-0.000603831373753484,0.827515307978918
