t,TGFb_pRec_Obs,ppS3_Obs,ppS2_S4_S4_Obs,geneB_Obs,geneI_Obs
0,-0.00100572816152746,-0.00904480463485152,-0.242283056995508,1.25457579384056,1.00379483818686
30,NaN,NaN,31.7332690939796,NaN,NaN
35,NaN,NaN,NaN,5.30425096602563,NaN
40,0.1782831622169,0.217955186075333,NaN,NaN,NaN
65,NaN,NaN,30.3844190274978,NaN,NaN
70,NaN,NaN,NaN,10.1395610730437,NaN
80,0.0788281539906845,NaN,NaN,NaN,NaN
85,NaN,0.221742056552526,NaN,NaN,0.970349518541394
100,0.0585306283271823,NaN,24.0825596737948,10.2850860491394,NaN
150,0.0148875107910186,0.237124797747419,11.7579504709376,12.8301667538278,0.774989446656032
200,NaN,0.204753906916047,4.70019110687929,12.7412644935668,NaN
250,0.00833880423186018,0.151792101846767,1.08431124405626,11.7838155136277,0.662834802338761
300,0.00375185312998333,0.106934037369267,-1.72411689941895,9.52897770904523,NaN
350,NaN,0.0637018153522635,NaN,7.18698728724895,0.445552406982518
400,NaN,NaN,NaN,5.49275629088739,NaN
450,NaN,0.00455059015730527,NaN,NaN,0.264564687908486
500,NaN,NaN,NaN,3.04326028982895,NaN
550,NaN,0.00487169789201212,NaN,NaN,NaN
600,NaN,NaN,NaN,1.49628058193309,0.301097081918483
650,NaN,0.00835486246672557,NaN,NaN,NaN
700,NaN,NaN,NaN,0.964632846923254,NaN
750,NaN,NaN,NaN,NaN,0.437323598529293
950,NaN,NaN,NaN,NaN,0.822462552013936
1000,NaN,NaN,NaN,NaN,0.839104540414631
1500,NaN,NaN,NaN,NaN,1.05422582250074
