t,IPR_O_Obs,IPR_S_Obs
0,-4.74832112968096e-06,7.17534131748024e-05
0.15,0.000259426170263106,NaN
0.3,0.000177249999360065,0.000952260356199415
0.5,0.000127893925767131,NaN
0.65,NaN,0.000980742951886721
0.7,0.000113361817576594,NaN
0.9,9.75225757249479e-05,NaN
1,0.000107310665762925,0.000702234450109768
1.5,9.2170882601778e-05,0.000694870334906208
2,9.69296250803188e-05,0.00069567530590086
2.5,9.08822767626485e-05,0.00074837216259959
3,NaN,0.000642323136142972
3.5,NaN,0.000779106865054908
4,NaN,0.000703598367085312
5,NaN,0.000760568833447211
