t,AC_Obs,pAC_Fsk_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs,pAC_Obs,AC_Fsk_Obs
0,1.09913842725129,-0.331638469065297,-0.111721592680127,0.0430066292816315,0.0675499999989355,0.0237935549540839
3,NaN,NaN,0.366128165901915,NaN,-0.106053710740671,NaN
3.5,NaN,0.6679353117172,NaN,NaN,NaN,NaN
4,0.681508935271212,NaN,NaN,NaN,NaN,NaN
4.5,NaN,NaN,NaN,NaN,NaN,0.324473383059079
6,NaN,NaN,NaN,NaN,0.514519842420206,NaN
6.5,NaN,NaN,0.248323553530444,NaN,NaN,NaN
7.5,NaN,0.645944394054275,NaN,0.0228678432951232,NaN,NaN
8,0.549048602506037,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,0.549337217328601,0.139072274596491
10,NaN,0.0107006028966684,0.26456243875691,NaN,NaN,NaN
15,0.607187214367668,0.178082109464005,0.0524193499230055,0.029128632290859,0.386212673676039,0.317054898190647
20,0.217929478569701,0.190165915141105,0.0372423935985502,NaN,0.190486350180905,0.514407787531422
25,0.834671372090108,NaN,0.164669108851159,0.0188716565549003,0.252715054106554,NaN
30,0.577944572491199,0.572736007092836,NaN,NaN,0.0549083288088561,0.320644725282675
35,NaN,-0.747087667553573,0.316061202677895,0.00867222597708129,-0.405659120046969,0.39953609227282
40,NaN,NaN,0.270492623664415,NaN,NaN,NaN
45,NaN,NaN,NaN,0.00713438745316787,0.736946452804177,NaN
50,NaN,NaN,0.156731775867157,NaN,0.00975885915123312,NaN
60,NaN,NaN,0.144669306910362,0.0397809306901016,-0.894001222922352,NaN
75,NaN,NaN,NaN,NaN,-0.199275713367165,NaN
85,NaN,NaN,NaN,NaN,0.260742200249097,NaN
