t,pAC_Fsk_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs
0,0.0558437047874359,-0.0232033989052789,0.0328029862455329
4.5,-0.533625853208736,NaN,NaN
8.5,0.187860925996353,NaN,NaN
10,NaN,-0.0263972984979267,0.0575981756976665
15,-0.154075510495695,NaN,NaN
20,0.481466614756881,NaN,0.0446838947757113
25,0.189195901889143,0.0123851570771299,NaN
30,-0.155218487787098,NaN,0.0771506333809945
35,-0.144550028130334,0.0861581249483592,NaN
45,0.332384289791349,NaN,0.0670914265894504
50,NaN,0.0458126071303683,NaN
55,0.107576555536413,NaN,NaN
60,NaN,NaN,0.083611014087506
65,1.08158762565271,0.2328647389302,NaN
75,0.0142693396520723,NaN,0.0563594562379596
80,NaN,0.16006529031035,NaN
90,0.0531898778137453,NaN,0.0421652711883177
100,NaN,0.150185641575149,NaN
150,NaN,0.218952531808848,NaN
200,NaN,0.235136852727006,NaN
250,NaN,0.0946931549749896,NaN
