t,AC_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs
0,0.836121398878371,-0.076619707948144,0.0444853291947687
7.5,1.27150401383594,NaN,NaN
15,1.0115527244466,NaN,NaN
20,NaN,-0.0418629906127062,0.0566001629310368
25,0.67382732930936,NaN,NaN
35,1.0370978164822,NaN,NaN
45,1.07371713729029,-0.0144974539753585,0.100883188283466
55,1.36135163839494,NaN,NaN
70,0.527767485791899,0.136662934760208,0.04266967175443
90,0.0942295432185248,NaN,NaN
95,NaN,0.128816601851227,0.0394737250599444
100,1.11403809500419,0.0869250093627391,0.0418168067003324
150,NaN,0.100678571192552,0.107704147774596
200,NaN,0.121473265630182,0.0375519459505184
250,NaN,0.142261955747252,0.0592045963942078
300,NaN,0.140837202681234,0.0738055240416913
350,NaN,0.080299842764946,0.0893110415287637
450,NaN,NaN,0.118181918017743
