t,AC_Obs,pAC_Fsk_Obs,RIIp_cAMP_C_2_Obs,Sp8_Br_cAMPS_Obs,Rp8_pCPT_cAMPS_Obs,RIIp_Rp8_Br_cAMPS_C_2_Obs,RIIp_Rp8_pCPT_cAMPS_C_2_Obs,pAC_Obs,AC_Fsk_Obs
0,0.659549332596749,0.179968865556859,0.00632448831067742,-0.160733105697693,-0.215536912926587,0.481080303067105,0.63339723519578,0.687862067326189,-0.315291755780558
3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.312018030891866,NaN
5.5,0.276877698312229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,0.00129480962507085,-0.229175758849878,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,0.0662872795620524,NaN,-0.3346539904818,NaN
7.5,NaN,-0.505408535345169,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,0.0810454087480394,NaN,0.200528729807197,NaN,NaN
10,0.712849456942514,NaN,NaN,NaN,NaN,NaN,NaN,-0.665994341314575,NaN
15,NaN,0.628217085175115,-0.00103791071356106,0.984904498629164,0.0243976250069858,-0.610211397257975,-0.104022691524289,0.472990530469851,NaN
20,1.25930599713185,NaN,0.00610112479840577,0.798879420275087,NaN,-0.295809852704562,NaN,0.0237821907874688,NaN
25,0.993795617669123,-0.0411880115402147,NaN,0.240736835676492,0.0642598345100446,NaN,-0.255957265768798,-0.520045402750872,-0.736681180471136
30,NaN,0.536902256996346,0.00591528061322615,NaN,NaN,-0.896759553119211,NaN,-0.310245090800077,NaN
35,0.86014324901861,NaN,0.00504654205692158,-0.561758826829361,0.00380194074020918,-0.0353044223454008,-0.942108833326925,-0.106048415867618,NaN
40,0.729620716120308,0.521191980355928,NaN,NaN,NaN,NaN,NaN,-0.760517398313947,NaN
45,NaN,NaN,0.00803484777143334,0.784257329472587,0.215245045107193,0.0719119805563445,-0.0481925567161276,NaN,-0.365900558766601
50,NaN,-0.40577432657894,NaN,NaN,NaN,NaN,NaN,0.0728681068742563,NaN
55,NaN,NaN,0.00673170013066032,-0.304952166964069,-0.118206618717983,NaN,-0.157345043237806,-0.244945061844609,NaN
60,NaN,NaN,NaN,NaN,NaN,-0.0361349280787944,NaN,NaN,NaN
65,NaN,0.514577562446175,NaN,-0.209022089234723,-0.136811841299653,NaN,-0.0446386294490972,-0.860081619287117,NaN
70,NaN,NaN,0.0040645802889433,NaN,NaN,0.26387725272662,NaN,NaN,-0.807898116256866
75,NaN,-0.169118626773314,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,0.00773952855862645,-0.336542445752647,0.116759290439116,NaN,0.585227560701129,-0.244697372530805,NaN
85,NaN,NaN,NaN,NaN,NaN,-0.380345092652641,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.401291651934231,NaN
95,NaN,0.322547555096692,NaN,0.40350862741978,NaN,NaN,0.0195662164249202,NaN,NaN
100,NaN,0.0125651362241858,0.0049791741586914,-0.302865116883025,0.465092764066522,0.131303426984564,-0.631641048357147,NaN,-0.564394473481046
150,NaN,-0.0519984359806857,NaN,NaN,-0.567967966645733,NaN,-0.0584761353115443,NaN,-0.349400038197138
200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0173250223738084
250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.963323708900988
300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.440977481243249
350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.445672288000927
450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.389753677333111
