t,RIIp_cAMP_C_2_Obs,RII_2_Obs,AC_Fsk_Obs
0,0.00772485598033078,0.0292597050466347,-0.170067640419747
15,NaN,NaN,0.324381476274348
20,0.00742038233774823,NaN,NaN
25,NaN,0.166955991044252,-0.903728876823133
40,NaN,NaN,-0.276182553703852
45,0.0104991732652664,0.0667900711688463,NaN
55,NaN,NaN,-0.26000833246804
70,0.00529334708900331,0.10377006671044,0.313155937440564
90,NaN,NaN,-0.0186781435951975
95,0.00422613358053877,NaN,NaN
100,0.00414330763378437,0.158422137163219,-0.135090312654018
150,0.00560023997162357,0.470403483348398,-0.369946177739577
200,0.00396334269564136,0.344467088136092,0.55533159434059
250,0.00441617023582479,0.29391304726358,NaN
300,0.0038099898413135,0.3399544921662,NaN
350,0.00300789491097362,0.348618865820068,NaN
450,0.00764582868724138,0.38758327173167,NaN
