t,RIIp_cAMP_C_2_Obs,RIIp_Sp8_Br_cAMPS_2_Obs,RII_2_Obs
0,0.00567448080583986,9.71641062722064e-05,0.027636847942613
4,0.00610106893722529,NaN,NaN
5,NaN,0.000289791409035478,NaN
7.5,NaN,NaN,0.0471457548001965
8.5,0.00565528038466376,NaN,NaN
10,NaN,5.01748230820933e-05,NaN
15,0.000260963828225117,0.00168223794903985,0.054599416012841
20,0.000950004548938236,0.00253445749010212,NaN
25,0.000847781483522743,0.00109693813207697,0.0585574915340905
30,0.00114199416785834,NaN,NaN
35,NaN,0.00125856235853111,0.0488074026535741
40,0.000658098508841684,NaN,NaN
45,NaN,0.00101790169705775,0.0418584851083291
55,NaN,0.000822769152879147,NaN
60,NaN,NaN,0.0316837137420573
65,NaN,0.0010466118604593,NaN
