t,pAC_Fsk_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs
0,0.543719829201393,0.0274328181836852,0.0420819526390293
4.5,0.346861148913143,NaN,NaN
9.5,0.252932347172821,NaN,NaN
15,0.0420953142084846,NaN,NaN
20,-0.318774447318094,NaN,-0.00399511783392031
25,0.066797154895721,0.0423339113695015,NaN
30,-0.432861176283589,NaN,NaN
35,NaN,NaN,0.139244883126998
40,0.165019185268689,NaN,NaN
50,0.397319422037252,0.0484220171194009,NaN
55,NaN,NaN,0.147548700189847
60,0.532370336740701,NaN,NaN
70,-0.0667629555987611,NaN,NaN
75,NaN,0.14006021127024,0.0250356621622458
85,-0.656708371553734,NaN,NaN
95,NaN,NaN,0.137174463671026
100,0.368404104768275,0.129443020066587,0.245899870830097
150,NaN,0.0840945358060741,0.110207811151218
200,NaN,0.0700107246411626,0.170722858649445
250,NaN,0.0908163057724023,0.327527214520955
300,NaN,NaN,0.347678634873592
350,NaN,0.0143830006041639,NaN
400,NaN,0.0349214874607552,NaN
