t,pAC_Fsk_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs
0,-0.693326594293852,-0.0242925428016798,0.0595429505945803
10,NaN,NaN,0.0514897087471035
15,-0.228464749029723,0.00286297479741474,NaN
20,NaN,NaN,0.0421646823136702
30,NaN,0.0134365602618911,NaN
35,-0.228284613325732,NaN,0.0276040032359338
45,NaN,0.0528567448412376,NaN
50,0.634651112768774,NaN,0.0553953211261366
60,NaN,-0.00486460755974264,NaN
65,NaN,NaN,0.0597477043640183
70,0.0661727298106991,NaN,NaN
75,NaN,0.152938012103475,NaN
85,NaN,NaN,0.0150842575762391
90,-0.0384415815875474,NaN,NaN
95,NaN,0.101218951219115,NaN
100,-0.199282046805838,0.102664275703636,NaN
150,0.0607259392439764,0.118221395094686,NaN
200,-0.0161609222132428,0.153710704692904,NaN
250,0.884890072320888,0.114310901048962,NaN
300,0.126588799649669,0.0860505532486689,NaN
