t,RIIp_cAMP_C_2_Obs,RII_2_Obs,AC_Fsk_Obs
0,0.0330339618446713,0.0374380723011242,0.0059175706392152
7,NaN,NaN,-0.00936053793399312
10,NaN,0.0768502529562462,NaN
15,NaN,NaN,-0.00754819289019307
20,-0.0678934348005413,NaN,0.00399500080966887
25,NaN,0.0379026314830892,NaN
30,NaN,NaN,-0.00217631568559334
40,-0.0106856751227196,0.0566136520071379,-0.000767068569783401
50,NaN,NaN,-0.00370871535628299
60,-0.0183860611784493,0.0798196070431206,NaN
65,NaN,NaN,0.048228420655642
80,0.0956383746037097,0.0368270614831702,0.0543997729225923
100,0.156219342500657,NaN,0.0572407973279224
150,0.0819128354566393,NaN,NaN
200,0.123394014326653,NaN,NaN
250,0.151108169747339,NaN,NaN
300,0.110649353014641,NaN,NaN
350,0.0839697548958213,NaN,NaN
450,0.0831653130523443,NaN,NaN
