t,RIIp_cAMP_C_2_Obs,RII_2_Obs,RII_C_2_Obs
0,0.130639126151451,0.0699931152397906,0.422770962977073
2.5,0.220276117379029,0.0581134315855564,0.695557145159946
4.5,0.241256863888119,NaN,NaN
5,NaN,0.0578349940828667,NaN
5.5,NaN,NaN,0.197396930000741
7.5,0.228883967102864,NaN,NaN
8,NaN,0.0455061097756877,0.345023169878568
10,0.123885057681514,0.0269399309732623,0.524567330203613
15,0.194552786077455,0.0208627337044461,0.276021928889867
20,0.16899170912933,0.0663719717777306,0.282167797796218
25,-0.0158840354883837,0.0414044273723391,0.202095495648907
30,0.274094243383847,0.0318998953252602,0.272956902804869
40,0.284197424742458,0.0199814434192315,0.495841005522669
