t,RIIp_cAMP_C_2_Obs,RII_2_Obs,AC_Fsk_Obs
0,0.0575217658675821,-0.0478284550701004,-0.00312183418836883
7.5,NaN,NaN,0.0229332644794542
15,NaN,NaN,-0.0245961460175668
25,0.0566660118546235,0.0937100485975198,0.00468802525364809
30,NaN,NaN,-0.0213141703235521
45,0.00332827469211547,NaN,0.00451614684744023
50,NaN,0.0218995775016824,NaN
55,NaN,NaN,0.0240554467838526
70,0.221496128861137,NaN,0.153768952026056
80,NaN,0.0261804307571058,NaN
85,NaN,NaN,0.152059408065222
100,0.137349019290156,0.147838899713248,0.159338757055351
150,0.13048588068633,0.129270756904322,NaN
200,0.0709389048758011,0.198965480758497,NaN
250,0.125053379023326,0.116579387142681,NaN
300,0.0930919213364237,0.146321190758069,NaN
350,0.098117532910606,0.236667923825355,NaN
450,0.0480588141357405,0.270519377710935,NaN
