t,pAC_Fsk_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs
0,0.397610239734833,0.0138405047313402,0.0616494529422367
0.06,0.525899026930021,NaN,NaN
0.1,0.194192348455786,NaN,NaN
0.15,-0.0369535609845671,NaN,NaN
0.25,0.00413163998655629,NaN,NaN
0.3,0.0787464672573701,NaN,NaN
0.35,0.389429447631901,NaN,NaN
0.4,-0.827794104502739,NaN,NaN
0.5,0.222584837721334,NaN,NaN
0.55,-0.178759511951407,NaN,NaN
0.65,0.463850262157799,NaN,NaN
0.7,0.609322058711944,NaN,NaN
0.8,-0.147997232278788,NaN,NaN
0.9,-0.143638417096876,NaN,NaN
1,-0.318090539320933,NaN,NaN
1.5,0.448796295384763,NaN,NaN
2,0.17352337056556,NaN,NaN
2.5,0.165732318594187,NaN,NaN
3,0.140994191842722,NaN,NaN
3.5,0.452200175075098,NaN,NaN
4,0.595468970800453,NaN,NaN
5,0.415506535295375,NaN,NaN
5.5,-0.332236220792056,NaN,NaN
6,-0.297597824012963,NaN,NaN
8,NaN,NaN,0.0561076154524939
9.5,NaN,0.0271232522245074,NaN
15,NaN,NaN,0.0174917569746038
20,NaN,0.0274272310518302,NaN
25,NaN,NaN,0.0168858292299055
30,NaN,0.0167425279801049,NaN
35,NaN,NaN,0.040370387436551
45,NaN,0.0380874719510753,NaN
50,NaN,NaN,0.0429816393873056
60,NaN,0.0266432635278795,NaN
65,NaN,NaN,0.0272475183958891
80,NaN,0.0242601246988462,NaN
