t,RIIp_cAMP_C_2_Obs,RII_2_Obs,AC_Fsk_Obs
0,0.0136424823464337,0.0345806839443486,-0.169908413760823
4,-0.0230105857387288,NaN,NaN
7.5,0.0328865201406202,0.0629250029064469,NaN
10,-0.0381368367141574,NaN,-0.103788892729572
15,0.267574451563954,0.0243395257055831,NaN
20,0.267549898482435,NaN,0.47156124873202
25,NaN,0.0539854658576161,NaN
30,0.181550218340082,NaN,NaN
35,0.123153114423069,0.0431470879360739,0.277388231879449
45,0.0838909837218977,0.0473978500692565,0.551501297728738
55,0.121415282869884,NaN,NaN
60,NaN,0.0245799860605576,0.211133252409988
75,NaN,NaN,0.552158540861102
90,NaN,NaN,0.379375032451397
100,NaN,NaN,0.272948073215024
150,NaN,NaN,0.385578961572242
200,NaN,NaN,0.14850516484815
250,NaN,NaN,0.187016039705775
