t,pAC_Fsk_Obs,RIIp_cAMP_C_2_Obs,Sp8_Br_cAMPS_Obs,RIIp_Sp8_Br_cAMPS_2_Obs,RII_2_Obs,AC_Fsk_Obs,RIIp_C_2_Obs,RIIp_Sp8_Br_cAMPS_C_2_Obs,RII_C_2_Obs
0,-0.00699581602081746,0.00527997364386493,0.650331934419281,-0.000787903601455043,0.0512854763758677,-0.165767727760739,0.398533610025512,-0.0602622848394562,0.704710753467992
3.5,NaN,NaN,15.4900213583213,NaN,NaN,NaN,NaN,0.172258500729596,NaN
4.5,NaN,NaN,NaN,0.00189717175481623,NaN,NaN,0.0357753073343976,NaN,NaN
5.5,NaN,0.000340432364981755,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,0.0218205024666857,NaN,NaN,NaN,0.372400995614213
7,NaN,NaN,10.7551921593459,NaN,NaN,NaN,NaN,0.21244055147127,NaN
8.5,0.997463395264687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,-0.00791058062027106,NaN,NaN
9.5,NaN,NaN,NaN,0.00210293455518511,NaN,NaN,NaN,NaN,NaN
10,NaN,4.35901769080722e-05,4.66787088009002,NaN,0.0598667435351263,NaN,NaN,0.125880782272032,0.54386088861709
15,-0.169913260606783,NaN,8.64952428319314,0.000339186560388646,NaN,-0.599589490992789,0.0166735451121197,0.195961189687661,NaN
20,NaN,0.000396201302581274,6.64866254533388,-0.00015753128901291,0.0300180560332744,NaN,0.00236107569017727,0.0828737170649655,0.362192824350093
25,-0.339999372202005,0.000174333888740983,10.3527447371672,0.000901778427380693,0.0474403923569644,NaN,0.0178655190298142,0.338365549933723,0.315102554372718
30,NaN,NaN,12.0893081938226,NaN,NaN,NaN,NaN,0.0901543770152426,NaN
35,-0.528869445753638,-0.000344272623251393,11.3913111791025,0.00139069769894505,0.0445931161437876,0.229062600682643,0.0225217809644546,NaN,0.309685925827781
40,NaN,NaN,NaN,NaN,NaN,NaN,0.0467952499857047,0.160293213165128,NaN
45,0.0238463189547458,0.000342754347067079,13.8927030629003,0.000621447253972835,0.0375426923107492,NaN,NaN,0.180370560479397,0.194678100693382
50,NaN,NaN,NaN,NaN,NaN,0.583488930703137,NaN,NaN,NaN
55,NaN,NaN,11.8913949759021,0.000961625342491829,0.0486484737678421,NaN,NaN,0.148273546351721,0.177998417013895
60,-0.310720327020824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,8.35167586868743,NaN,NaN,NaN,NaN,0.18431730779047,NaN
70,NaN,NaN,NaN,0.000507025941547787,NaN,-0.0580409273051464,NaN,NaN,NaN
75,-0.183280357254254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,-0.0645606114008289,NaN,NaN,NaN
95,-0.198633398522184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,-0.496560062907792,NaN,NaN,NaN,NaN,-0.0456768033889331,NaN,NaN,NaN
150,NaN,NaN,NaN,NaN,NaN,-0.00205920953672919,NaN,NaN,NaN
200,NaN,NaN,NaN,NaN,NaN,0.786464405817185,NaN,NaN,NaN
250,NaN,NaN,NaN,NaN,NaN,-0.23458653961841,NaN,NaN,NaN
