t,EpoRJAK2_Obs,EpoRpJAK2_Obs,PTP_Obs,PTPAct_Obs,CISHnRNA1_Obs,CISHnRNA4_Obs,CISHnRNA5_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,2.93479023328214,6.30739087257763e-05,28.2767551400895,1.02860853967377e-05,9.67459169745911e-05,0.000183033339002053,0.000101030982040129,0.0162520992603687,105.302423054483,2.25301365746371
3.5,NaN,NaN,47.0158718042066,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,19.9355389639169,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,39.9438225787403,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,0.96484116538549,0.0279583460586879,47.735418219125,NaN,NaN,0.00504126512251499,0.00458805967824203,1.02372969245661,4.95049159426951,NaN
20,NaN,NaN,50.9796904485241,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,22.8729570281022,0.00157029317913543,0.0587334507980229,NaN,NaN,NaN,NaN,NaN
30,NaN,0.035200819947007,NaN,NaN,NaN,NaN,0.0437273385583137,1.48917452560542,19.5776055992103,NaN
35,1.08042825222341,NaN,33.9355031775276,NaN,NaN,0.0477848494618445,NaN,NaN,NaN,4.30969149083196
40,NaN,NaN,38.5765978429018,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,NaN,0.0292126567120645,NaN,NaN,NaN,NaN,0.034662625823914,NaN,27.9819194625231,NaN
50,5.5623124933071,NaN,17.1297979771576,0.00208885882494267,NaN,NaN,NaN,0.837783362277095,NaN,NaN
55,NaN,NaN,NaN,NaN,0.0541213030237879,0.0210109474400967,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.7794006651011,NaN
65,NaN,0.0282474605626618,NaN,NaN,NaN,NaN,0.0280831004571535,0.361756638862849,NaN,3.87537006384413
70,2.10722622622565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,0.00102081021744317,NaN,0.0348619919304293,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,0.0243570561176148,NaN,NaN,NaN,31.914566122921,NaN
85,NaN,0.0384383579198024,NaN,NaN,NaN,NaN,0.0399937653867358,NaN,NaN,NaN
90,1.93979646358532,NaN,NaN,NaN,NaN,NaN,NaN,0.323154239607563,NaN,NaN
100,3.42953470948331,0.0444110497272993,NaN,0.000890843310330264,0.0241610603726443,0.0195933865679355,0.0190064436190366,0.28442100990882,32.5848256855159,11.1315607877083
150,2.36090955056979,0.0352224130298214,NaN,0.00264218691299515,0.028716552980747,0.0342512411843103,0.0310505517871337,0.207703158721406,19.9561964068591,5.91147973751143
200,2.30369052383885,NaN,NaN,0.00101242668367912,0.0268028795160597,0.0234717547890744,0.036102148872858,0.332113662798595,33.7312707016702,3.68557801263197
250,2.70382803281386,NaN,NaN,NaN,0.0323747442663603,0.0193133459642273,NaN,0.236979043520154,56.3777870463023,3.67857628571349
300,1.32593065360172,NaN,NaN,NaN,0.034585363935313,NaN,NaN,NaN,53.3056132389527,8.44694902764033
350,NaN,NaN,NaN,NaN,0.0297438562837937,NaN,NaN,NaN,NaN,4.37508580636813
400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.17430478312994
450,NaN,NaN,NaN,NaN,0.015587587699017,NaN,NaN,NaN,NaN,NaN
500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.6131336580976
600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.89564313594379
750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.37500974983796
850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.99079222981437
