t,EpoRJAK2_Obs,CISHnRNA1_Obs,CISHnRNA4_Obs,CISHnRNA5_Obs,Compound_1_Obs,Compound_2_Obs
0,1.51424525094673,0.000124712591126553,0.000194153770998122,0.000117507427958655,0.0283843588377731,79.7236396756916
5.5,1.8836409475704,NaN,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,0.737469533976031,NaN
9,NaN,0.0049949982729761,0.000876443455990574,0.00023188290138505,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,32.5109899513991
10,2.03266633618549,NaN,NaN,NaN,0.38893430437594,NaN
15,1.90169838077014,NaN,NaN,NaN,NaN,NaN
20,NaN,0.0243132993978034,0.0124834059088348,0.00870105757841161,0.289979838762246,38.7634640998629
25,1.87594460542005,NaN,NaN,NaN,0.281005144754986,NaN
30,2.42221167151828,0.023223091790913,0.0247150778734188,0.0178892087099527,NaN,36.2137514175495
35,NaN,NaN,NaN,NaN,0.218164919581058,NaN
40,2.34250651461529,0.0254232665303415,0.0362081442424731,0.0317447361553379,NaN,42.9408450792435
45,NaN,NaN,NaN,NaN,0.2308083546662,NaN
50,2.11984437012322,0.0244362290771243,0.0423529175510295,0.0299215953382986,NaN,NaN
55,NaN,NaN,NaN,NaN,0.147079456654817,59.9542863139744
60,2.14870603505793,NaN,NaN,NaN,NaN,NaN
65,NaN,0.0172658618068494,0.0232688396306087,0.0182575185444004,0.180207507413775,NaN
70,NaN,NaN,NaN,NaN,NaN,58.8406672787981
75,2.32134499194614,NaN,NaN,NaN,NaN,NaN
80,NaN,0.0256030449643702,0.0173820987023267,0.0158218508317945,0.179998993326773,NaN
85,NaN,NaN,NaN,NaN,NaN,57.8067895190389
90,1.94892801162897,NaN,NaN,NaN,NaN,NaN
95,NaN,0.0208906288659806,NaN,0.00882958599528698,NaN,NaN
100,NaN,0.0123785555993686,0.012581225052299,0.0172940304034269,0.166708714865215,59.0304630474188
150,NaN,0.0122604534377169,0.0131555155644842,0.0141855398857473,NaN,51.1548241678641
200,NaN,NaN,NaN,NaN,NaN,76.843638026236
