t,EpoRJAK2_Obs,CISHnRNA1_Obs,CISHnRNA4_Obs,CISHnRNA5_Obs,Compound_1_Obs,Compound_2_Obs
0,2.40686221142721,8.27368103121613e-05,0.000188306832633083,0.000109922968396579,0.0173436769310547,132.003386361225
5.5,NaN,NaN,NaN,NaN,NaN,63.7371727157311
7,1.18958513301324,NaN,NaN,NaN,1.06970232548465,NaN
9,NaN,NaN,0.000708830312296567,NaN,NaN,NaN
9.5,NaN,0.0109699533309357,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,0.00044980173598431,NaN,20.7624540810175
15,1.98540162455743,NaN,NaN,NaN,1.04733475620255,6.71564747519191
20,1.47554963697801,0.0443223022020551,0.0271768484078425,0.0149771774635381,0.783964245481602,NaN
25,NaN,NaN,NaN,NaN,NaN,12.1997573000241
30,0.924997539095138,0.070781198361973,0.0605704505690534,0.0372742637624966,0.665378933423057,11.2828906851872
40,1.41995515832768,0.0374554500317962,0.0677019832035984,NaN,0.418755370357834,17.6013677884675
45,NaN,NaN,NaN,0.0424818547811379,NaN,NaN
50,2.17562586991824,NaN,0.0580117509172846,NaN,0.337290859094392,22.0511053980298
55,NaN,0.0377421145224726,NaN,NaN,NaN,NaN
60,2.74708972449135,NaN,NaN,0.0505025731047624,NaN,23.5396405984647
65,NaN,NaN,0.0462132124497325,NaN,0.371153206220874,NaN
70,NaN,0.0523258859155071,NaN,NaN,NaN,NaN
75,2.83232376995982,NaN,NaN,0.0266774983967891,NaN,33.8740124240573
80,NaN,NaN,0.0406158638226647,NaN,0.390892568945093,NaN
85,NaN,0.0340929684254529,NaN,NaN,NaN,NaN
90,1.91644349243804,NaN,NaN,NaN,NaN,39.0126796394253
95,NaN,NaN,NaN,0.0486877889337702,NaN,NaN
100,2.15946742987117,0.0264569387423574,0.0337792071478903,0.0370741026875204,0.352433703951449,33.1355222508455
150,2.02797481268329,0.0187295365647263,0.0281844182011014,0.0328441359327623,0.517436846450363,NaN
