t,CISHnRNA1_Obs,CISHnRNA5_Obs,Compound_3_Obs
0,9.79048821056376e-05,7.2483321204307e-05,0.794102168936438
15,0.000793056175049668,0.000300846273373139,0.531449830179214
25,NaN,NaN,0.559033066102512
30,0.000593588037094708,NaN,NaN
35,NaN,0.000698319191518374,NaN
40,NaN,NaN,0.633096380600009
50,0.000766143856488575,0.000712119340870248,NaN
55,NaN,NaN,0.468634778400242
70,0.0005097125104721,NaN,NaN
75,NaN,0.000620263567278097,0.74811382301169
95,0.000586419592788321,NaN,NaN
100,0.000588096080826116,0.000632509972997691,0.610701975460329
150,0.000511039553592161,0.000734873280574834,0.653862172440109
