t,PTP_Obs,PTPAct_Obs
0,2.5542866294564,0
10,3.45951487589346,NaN
25,3.20910151471551,NaN
40,3.21717384637074,NaN
45,NaN,0.000148173808642072
50,2.51298944346053,NaN
70,3.24740120265754,NaN
85,2.8018609412926,NaN
95,NaN,0.00036450188573261
100,2.56115094019296,NaN
150,2.86460606050004,0.000348288767935385
200,NaN,0.000353304981794133
250,NaN,0.000325974424672252
300,NaN,0.000635097731668009
400,NaN,0.000534888575950478
500,NaN,0.000877181268253041
600,NaN,0.000487556169468934
700,NaN,0.000548568717966896
