t,EpoRJAK2_Obs,CISHnRNA4_Obs,Compound_1_Obs,Compound_2_Obs
0,0.161864180286779,0.000115010246767185,0.00427205267303431,2.58695876480343
7.5,0.00158206115131498,NaN,NaN,NaN
9.5,NaN,NaN,0.216962142534561,NaN
10,NaN,NaN,NaN,4.96600461497634
15,0.00401086445201103,9.01225633073158e-05,NaN,NaN
20,NaN,NaN,0.2458571173938,4.5108217133635
25,0.00446015352787043,NaN,NaN,NaN
30,0.00537301504794069,0.000211021845559208,0.087021767864219,3.82250827481261
40,0.00877230133992827,NaN,0.186075284988437,4.51447368276847
45,NaN,0.000105658415436118,NaN,NaN
50,0.00429432868857768,NaN,NaN,NaN
55,NaN,NaN,0.107235939797746,2.94366042510036
60,0.005875991995154,9.16472882107096e-05,NaN,NaN
70,NaN,NaN,0.0956328034340207,5.08637014777236
75,0.00628533059500626,NaN,NaN,NaN
80,NaN,0.000139005256097549,NaN,NaN
85,NaN,NaN,0.116574310883756,2.5973274387182
90,0.00894696452795886,NaN,NaN,NaN
100,0.010814223657564,0.000106155446542941,0.244652904298379,4.0783902402218
150,0.0203249318190151,0.000154503182980918,0.201332595505492,3.70278661075697
200,NaN,0.000274532614755654,0.101503013268914,4.00319948559988
