t,EpoRJAK2_Obs,PTP_Obs,CISHnRNA4_Obs,CISHnRNA5_Obs,Compound_1_Obs,Compound_2_Obs
0,6.37088625205718,31.0050485974534,2.8879171903219e-05,1.29225171548257e-05,0.00150556210422581,274.72435837188
5,NaN,35.3232906287029,NaN,NaN,NaN,NaN
10,NaN,35.5958912748622,NaN,NaN,0.62313477102244,NaN
15,NaN,31.5279329935314,NaN,0.00132898319807113,NaN,6.3372342226098
20,1.06821193809919,54.9016095538884,0.00171404700740692,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN,0.579537713381199,NaN
30,NaN,49.4620497444861,NaN,0.0044453143029091,NaN,8.63482259647923
35,NaN,36.9370399097193,0.00306911223236727,NaN,NaN,NaN
40,1.62106695779332,NaN,NaN,NaN,0.307881680009126,NaN
45,NaN,56.2195680652438,NaN,0.00476054341298615,NaN,10.8806148249053
55,NaN,41.6314466738872,0.00380186816003669,NaN,0.758014073713313,NaN
60,1.36002926194873,NaN,NaN,0.00250423042386255,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,19.297632056966
70,NaN,41.8489535325551,NaN,NaN,0.476625136927243,NaN
80,NaN,NaN,0.00534903586133213,0.00480916643312327,NaN,NaN
85,1.57280846355119,27.8583963070856,NaN,NaN,NaN,42.8607067336254
90,NaN,NaN,NaN,NaN,0.252971710576196,NaN
100,1.83681925367331,NaN,0.00374834038114456,0.0049173724405616,0.293746048768401,31.9790330843547
150,1.86195550299949,NaN,0.00341763120712606,0.00331777307922854,0.384216487119826,21.0370260249015
200,1.64401868910627,NaN,0.00246944966152797,0.00440977318552961,0.395624691014253,34.5026038862224
250,1.33619497410604,NaN,NaN,NaN,NaN,24.5060489066416
300,2.23552466178112,NaN,NaN,NaN,NaN,38.5939729751683
