t,EpoRJAK2_Obs,CISHnRNA1_Obs,CISHnRNA4_Obs,CISHnRNA5_Obs,Compound_1_Obs,Compound_2_Obs
0,2.26014832912366,8.58941330598444e-06,1.97765065981698e-05,9.07564394630066e-06,0.00163512984476924,86.0717142248329
10,NaN,NaN,NaN,NaN,0.891140545816998,10.8470008726569
15,1.51250953644103,NaN,0.00102307149134683,NaN,NaN,NaN
20,NaN,0.00476982347044658,NaN,0.00169336116311917,0.838626517844888,NaN
25,1.47787674338544,NaN,NaN,NaN,NaN,5.91173945024606
35,NaN,NaN,0.0052469839596952,NaN,0.654276156901019,15.4877596077993
40,1.92941488109452,NaN,NaN,0.00683217435543606,NaN,NaN
45,NaN,0.00340674451763532,NaN,NaN,0.453077216490826,NaN
50,NaN,NaN,NaN,NaN,NaN,22.8401911151023
55,1.54234585564729,NaN,0.00457821715280105,NaN,NaN,NaN
60,NaN,NaN,NaN,0.00565022305709376,0.304461169221792,NaN
65,NaN,0.00239859987500236,NaN,NaN,NaN,19.4428037662469
70,1.35929385313997,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,0.00511603947671165,NaN,0.320947832087577,NaN
80,NaN,NaN,NaN,0.00350705594692229,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,35.0762289635571
90,1.8324009934118,NaN,NaN,NaN,NaN,NaN
95,NaN,0.00496079988977191,NaN,NaN,0.454140314608613,NaN
100,1.72518654569247,0.00309508735323562,0.00562825344831598,0.00454026658218302,0.352072560058344,31.8880370808439
150,2.40072135497289,0.00370832916250632,0.00334531978011951,0.00396806474539557,0.566524418645305,40.6536945064138
200,2.18479358911131,0.00514484460936663,0.00290899520828698,0.00283078620708306,0.285283433734435,38.7255520098485
250,2.80019782387241,0.00392050968463247,0.00424327532478562,0.00378072008560575,NaN,NaN
