t,PTP_Obs,CISHnRNA5_Obs,Compound_3_Obs
0,39.3359702896049,8.07299158666814e-05,1.40971271210134
3.5,66.6164326365095,NaN,NaN
6.5,32.5497100293134,NaN,NaN
10,66.411114785531,NaN,2.34794264263261
15,16.8652994883242,0.00416656763414099,NaN
20,34.5912507349244,NaN,2.75389150409034
25,54.0803181004149,NaN,NaN
30,14.4998547237413,0.0234352639216337,5.2524606342688
35,45.3715488680921,NaN,NaN
40,NaN,NaN,1.6716249058938
45,25.0689019146342,NaN,NaN
50,NaN,0.0619086459095623,NaN
55,NaN,NaN,6.2141244344328
70,NaN,0.03868399964562,9.87302233379106
85,NaN,NaN,7.91827957227854
95,NaN,0.0343538103437193,NaN
100,NaN,0.0381140621949098,4.82981831822868
150,NaN,0.0276823380301156,5.65540264126141
200,NaN,0.036250437403552,8.64104597951493
250,NaN,0.0199936079898148,NaN
