t,EpoRJAK2_Obs,PTP_Obs,CISHnRNA4_Obs,CISHnRNA5_Obs,Compound_1_Obs,Compound_2_Obs
0,2.23060802532638,180.963567208684,0.000237353042441817,6.64360285030941e-05,0.0146114176537218,114.240767259809
4.5,NaN,175.670276160059,NaN,NaN,NaN,NaN
6,1.3449770153616,NaN,NaN,NaN,0.665426802032627,NaN
8.5,NaN,NaN,NaN,0.000215568966791094,NaN,NaN
9,NaN,361.345450786709,0.000749020655826244,NaN,NaN,NaN
10,3.2217056130035,NaN,NaN,NaN,0.442716303246219,62.1378188741636
15,NaN,105.655559808611,NaN,0.00322710918747469,NaN,NaN
20,1.71623881122017,224.873279749911,0.017768757173455,NaN,0.314587555813153,30.5348258269605
25,1.89713363548756,241.621602878115,NaN,0.012685966610652,0.265597598975871,NaN
30,2.62716490303864,NaN,0.0216975706480261,NaN,NaN,33.3787995124347
35,NaN,321.114272640747,NaN,0.0481463792044877,0.167698409387599,NaN
40,1.87972004048336,NaN,0.0258694779861029,NaN,NaN,48.9425794224999
45,NaN,301.575801050383,NaN,0.0290126218864837,0.210963860130762,NaN
50,1.76936896742128,NaN,0.0252425187203029,NaN,NaN,NaN
55,NaN,163.087509599067,NaN,NaN,0.185086232106768,64.3049070447842
60,1.72801563553977,NaN,NaN,0.0215498129292602,NaN,NaN
65,NaN,NaN,0.0195797088747781,NaN,0.153889099621273,NaN
70,NaN,NaN,NaN,NaN,NaN,53.7627393580911
75,2.27448467883435,NaN,NaN,0.0161017578907417,NaN,NaN
80,NaN,NaN,0.015879695333266,NaN,0.128004707417572,NaN
85,NaN,NaN,NaN,NaN,NaN,57.7508441211209
90,4.38201550459954,NaN,NaN,0.0149588081610082,NaN,NaN
95,NaN,NaN,NaN,NaN,0.243380512980783,NaN
100,2.37039600264764,NaN,0.0151475921132703,0.0104797196877215,0.152171857400303,99.5547113123466
150,NaN,NaN,0.0068435136911127,0.0175070900197376,NaN,48.6468399558958
200,NaN,NaN,NaN,NaN,NaN,93.0116036524663
