t,epo_level,EpoRJAK2_Obs
7,2.5e-09,1.77746959923721
7,7.905e-09,1.83804756571438
7,7.905e-09,2.45688841837895
7,7.905e-09,3.4395340470716
7,1.25e-08,3.02854644428392
7,1.75e-08,1.29244183218895
7,1.75e-08,3.0217857500621
7,1.75e-08,3.71639722114325
7,2.5e-08,4.21392887145212
7,3.95e-08,2.04754108172734
7,3.95e-08,2.5098469769954
7,3.95e-08,3.03483263046781
7,7.9e-08,0.638068183000447
7,7.9e-08,0.668540556900888
7,7.9e-08,1.34725184705273
7,1.25e-07,1.22274572228854
7,1.25e-07,1.84937465985382
7,1.25e-07,2.0435144938886
7,1.7675e-07,0.815900848293032
7,2.5e-07,0.71624277320985
7,7.905e-07,0.31735072790043
7,2.5e-06,0.22946190843777
7,2.5e-06,0.237187103769031
7,2.5e-06,0.259793150364615
