t,epo_level,CISHnRNA5_Obs
6,0,8.18826678073567e-05
6,0,0.00014513386241866
6,4.2857e-08,0.000116789440153445
6,4.2857e-08,0.000131380030014986
6,1.4286e-07,6.21832816538388e-05
6,1.4286e-07,0.000123479527311564
6,4.2857e-07,7.92578975730717e-05
6,4.2857e-07,0.000162205861545583
6,1.4286e-06,4.63446776196932e-05
6,1.4286e-06,8.40783441061464e-05
6,4.2857e-06,5.84433648137515e-05
6,4.2857e-06,7.29736511674966e-05
6,1.4286e-05,7.33270954425286e-05
6,1.4286e-05,9.46507348608095e-05
6,4.2857e-05,8.03360149860118e-05
6,4.2857e-05,0.000324080821731117
