t,PTP_Obs,CISHnRNA5_Obs,Compound_3_Obs
0,16.2329418186917,8.79757022300841e-05,599.903940458189
3.5,15.7218316668869,NaN,NaN
7,NaN,NaN,288.112734114372
7.5,52.3215860866734,NaN,NaN
10,21.6790012086872,NaN,NaN
15,21.5298418004805,0.000207745142810431,573.681349722413
20,23.4473702478589,NaN,421.258465083858
25,26.3580420189343,NaN,NaN
30,NaN,0.000429415874290952,369.52469485799
35,24.7933128909596,NaN,NaN
40,26.7865453739718,NaN,511.209512132412
45,NaN,0.00106850596585798,NaN
50,23.748712600264,NaN,413.416086161244
60,NaN,NaN,223.663897985847
65,NaN,0.00121027414012362,NaN
70,NaN,NaN,219.603992952807
85,NaN,0.00143250025339554,NaN
90,NaN,NaN,415.179395026663
100,NaN,0.00154558779903248,545.074426817217
150,NaN,0.000803028460445674,369.212308342405
200,NaN,0.000802174358335446,NaN
