t,EpoRJAK2_Obs,CISHnRNA4_Obs,CISHnRNA5_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,1.3222939183875,8.44727174832529e-05,0.000146671518094309,0.00252210495906222,3.39773183739672,0.853400804460733
9,NaN,NaN,NaN,NaN,NaN,0.478392761309527
15,0.0211158448107876,0.000511375914690333,0.000193824813937556,NaN,0.447521387850515,NaN
20,NaN,NaN,NaN,1.13190259591108,NaN,0.705073895338452
30,0.0262390465234907,0.000774406575588384,0.000844032845895603,NaN,0.523162060263294,0.366063351198545
40,NaN,NaN,NaN,2.48794143226486,NaN,0.609698396064426
45,0.0725712223424346,0.000373825059460458,NaN,NaN,0.693071450828661,NaN
50,NaN,NaN,0.000724883665767665,NaN,NaN,0.738685831798346
60,NaN,NaN,NaN,1.27075491466594,0.398955133408636,0.873325596758253
65,0.0854186748642418,0.00066885535023914,NaN,NaN,NaN,NaN
70,NaN,NaN,0.00037344851498835,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,0.266431017948474
80,NaN,NaN,NaN,0.835421610968463,1.17603950114764,NaN
85,0.0854660207545535,0.000761969960013352,NaN,NaN,NaN,NaN
95,NaN,NaN,0.00101001238114187,NaN,NaN,0.810910283391004
100,0.0679064405941549,0.000711947566501983,0.000593437390879986,0.717431233939956,1.06566356920441,0.621637859544348
150,0.102225466762407,0.000636705910524655,0.000446731199999392,1.90288376912832,0.881703064911405,0.456057919102341
200,0.0733042734197851,NaN,NaN,0.791172191027294,1.04609836843531,NaN
250,0.140688978369463,NaN,NaN,0.828974095242848,1.15714915855816,NaN
300,0.126638779345678,NaN,NaN,1.16518443145876,NaN,NaN
350,NaN,NaN,NaN,0.985256211760531,NaN,NaN
