t,epo_level,CISHnRNA5_Obs
27,2.5e-09,0.000243136984190188
27,2.5e-09,0.000435887537924728
27,2.5e-09,0.000494223794728541
27,2.5e-08,0.00471867890971586
27,2.5e-08,0.0127747678478203
27,2.5e-08,0.0132796928591575
27,1.25e-07,0.0311365632582683
27,1.25e-07,0.0516232258174056
27,1.25e-07,0.0569902578868645
27,2.5e-07,0.0169289832245264
27,2.5e-07,0.0324533594243154
27,2.5e-07,0.0420348407273262
27,1.25e-06,0.0461355907755415
27,1.25e-06,0.0627061974422035
27,1.25e-06,0.0841035625540772
27,2.5e-06,0.0274788849597154
27,2.5e-06,0.0528880595109173
27,2.5e-06,0.0740749297039648
