t,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,npSTAT5_Obs,CISnRNA2_Obs,CISnRNA4_Obs,CISRNA_Obs,CIS_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs
0,-0.00448673953889077,-0.000420782160455564,23.6016401222715,0.00615590075446742,-0.0176973449641787,-5.2049088841214,-3.14783156295261,2.17319874422678e-05,-0.073270299046465,-6.56630830094035e-06,2.79252439148005e-06
8,NaN,NaN,23.095219176891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,0.149244803454234,0.0175046061996124,NaN,NaN,NaN,0.563231170676796,-10.6616561443451,NaN,NaN,NaN,4.60533735510959e-06
15,NaN,NaN,25.9043697353708,0.021543000742609,0.248801570551772,NaN,NaN,-0.000279218763219039,-0.191942317731226,1.36000714271211e-05,NaN
20,0.0926795982016739,0.00993033454844475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,25.6941955396249,NaN,0.438366821237936,24.0092726991245,20.649668774804,NaN,0.14030205867469,NaN,2.99781064093767e-05
30,NaN,0.00569504090585521,NaN,0.0309730469123845,NaN,NaN,NaN,NaN,NaN,4.10150214708474e-05,NaN
35,0.0691369213132792,NaN,NaN,NaN,NaN,NaN,NaN,0.00154423292249694,NaN,NaN,6.41646335000353e-05
40,NaN,NaN,24.5047905469588,NaN,0.720331334142279,65.7418878870189,41.7175211342596,NaN,0.222167683795646,NaN,NaN
45,0.0661676901392154,0.00364916957639873,NaN,0.0467366760663113,NaN,NaN,NaN,NaN,NaN,7.06140832650228e-05,NaN
50,NaN,NaN,22.2784614495624,NaN,NaN,61.2749166535188,66.906576375415,0.00505326790967374,NaN,NaN,7.69002219512602e-05
55,NaN,NaN,NaN,NaN,0.790303178222571,NaN,NaN,NaN,0.937672868071459,NaN,NaN
60,0.0657071297888451,0.00289607112550093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.91973687717962e-05,NaN
65,NaN,NaN,22.9563117858656,0.040336643579338,NaN,NaN,NaN,NaN,NaN,NaN,7.16837626882184e-05
70,NaN,NaN,NaN,NaN,NaN,85.7971646300351,86.4975776804422,0.00842316779668795,NaN,NaN,NaN
75,NaN,0.00172982503999254,NaN,NaN,0.799371398350721,NaN,NaN,NaN,1.63924033010976,NaN,NaN
80,0.0545616840359869,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.99181472714681e-05,6.86852301790132e-05
85,NaN,NaN,NaN,0.0400952350009995,NaN,82.4414812613404,74.5059264263685,NaN,NaN,NaN,NaN
90,NaN,0.00300794457381067,NaN,NaN,0.696145278238801,NaN,NaN,NaN,NaN,NaN,NaN
95,0.0438663243156381,NaN,NaN,NaN,NaN,NaN,NaN,0.00820012840721191,2.99653499806665,NaN,NaN
100,0.0497353381610202,0.00263065086661731,NaN,0.0473802890993236,0.644920934748675,92.0194018594442,84.7625216558186,0.00846924612927127,2.77495211048981,7.51080226475685e-05,7.30886429605766e-05
150,0.0596290769096042,0.00258379533029885,NaN,0.0515961244591185,0.677070638141676,79.2824746683667,72.3965418811582,0.00843996336856719,3.88894278939175,6.2340637140255e-05,6.78521508723891e-05
200,0.0550551681661346,NaN,NaN,0.0500622006518991,0.658112972956109,67.0584255385897,70.2789548692413,0.0074821727318832,4.61556771988941,7.3458812938054e-05,6.34379642394972e-05
250,NaN,NaN,NaN,0.0562392921639398,0.516774448163475,63.6671543899588,60.382211437085,0.00597685641255287,4.36911981480219,5.9188920626865e-05,6.33128098271186e-05
300,NaN,NaN,NaN,0.0602582338389097,0.544465285393659,61.4392525337908,52.7651787245172,0.00640980676030284,4.74325315095444,5.13337096003827e-05,4.9653399844629e-05
