t,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,npSTAT5_Obs,CISnRNA2_Obs,CISnRNA4_Obs,CISRNA_Obs,CIS_Obs,SOCS3nRNA2_Obs
0,0.00520464921737292,-0.000554036945320111,62.6132251446051,0.015714057577707,0.206058766428543,-43.0022307035704,0.681303350491411,-0.00252772557325828,1.34867858272573,-6.27400099511834e-05
6.5,0.152474580172957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,61.4403321784483,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,0.0239319519076659,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.246215906799189,NaN
9,NaN,NaN,NaN,NaN,NaN,-14.8539630929358,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,0.0752047046135072,1.53756552420569,NaN,37.8368630763762,0.00127064812669867,NaN,0.000169230285941142
15,0.12798237360478,0.0128858275584821,70.587261214035,NaN,NaN,NaN,NaN,NaN,1.61100670630008,NaN
20,0.109580506201202,NaN,68.0476479374051,0.0967665366024009,3.91213302748122,229.833737546235,120.165324341655,0.00384978897463305,NaN,NaN
25,NaN,0.00966717892618254,NaN,NaN,NaN,NaN,NaN,NaN,-0.109060059156411,0.00042824657814062
30,0.10327030027455,NaN,63.8214657689122,NaN,4.97365538764239,413.553292022593,268.711237591586,0.0245549089158509,NaN,NaN
35,0.0761308762658735,0.00775211768876322,NaN,0.141068002258996,NaN,NaN,NaN,NaN,1.28390978882479,0.000527150128723504
40,NaN,NaN,57.0949640980173,NaN,5.76079363435865,468.172903510941,NaN,NaN,NaN,NaN
45,0.0754486660884831,0.00692951249649541,NaN,0.117773669122103,NaN,NaN,450.676346193347,0.0493255927080007,4.23658767376011,NaN
50,NaN,NaN,NaN,NaN,NaN,532.155994424865,NaN,NaN,NaN,0.000558101441333221
55,0.0694437209861754,0.00501110016747888,56.2416338999977,NaN,6.01912917635658,NaN,NaN,0.052500422727414,NaN,NaN
60,NaN,NaN,NaN,0.160886207147325,NaN,NaN,531.323739229932,NaN,11.7395418314982,NaN
65,NaN,NaN,NaN,NaN,NaN,546.275969378515,NaN,NaN,NaN,0.000522556306163603
70,0.0714922597523875,0.00458529669735653,NaN,NaN,5.09764818054248,NaN,NaN,0.0560632430461946,NaN,NaN
75,NaN,NaN,NaN,0.171595174749883,NaN,NaN,549.938204672494,NaN,13.6939765258306,NaN
80,NaN,NaN,NaN,NaN,NaN,554.980780119709,NaN,NaN,NaN,0.000452581587760866
85,0.0584380157875856,NaN,NaN,NaN,4.4120857013347,NaN,NaN,0.0521949996191426,NaN,NaN
90,NaN,0.00438483701362534,NaN,NaN,NaN,NaN,NaN,NaN,19.9698294366011,NaN
95,NaN,NaN,NaN,0.188377218034091,NaN,NaN,499.19179430665,NaN,NaN,NaN
100,0.0753177384498305,0.00310144619528762,NaN,0.1852260431804,4.18033505758815,454.140861698072,484.312284916217,0.0477081679986123,21.0623060469205,0.000412985477347687
150,NaN,NaN,NaN,0.197910099380234,3.14495214059102,337.679646446907,357.824388725341,0.0405408861102864,26.5522981970726,0.000339001997963796
200,NaN,NaN,NaN,0.173754550997486,3.1688176822293,331.726759396289,392.65397833819,0.03158116889537,NaN,0.000278473454764893
